year,month,P_anchoveta,P_sardina,P_jurel,Q_anchoveta,Q_sardina,Q_jurel,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD,Date
2012,1,62000.00000000005,63000.00000000004,173999.99999999997,6.85,16.880000000000003,67350.71600000001,629181.1295454539,501.339545454545,1255,2012-01-01
2012,2,62000.00000000005,65999.99999999996,207999.9999999999,257.86599999999993,34840.46299999999,40827.648999999976,612694.2071428566,481.48857142857094,1272.5,2012-02-01
2012,3,67200.00000000003,66222.22222222223,58999.99999999995,6729.8769999999995,246995.89999999973,25882.192,629800.6022727266,485.395454545454,1297.5,2012-03-01
2012,4,66833.33333333336,68699.99999999996,145647.48686021182,30577.22399999999,190814.7750000001,19438.142999999996,677971.395,486.001,1395,2012-04-01
2012,5,70333.3333333333,89900.00000000001,145561.21448959617,10886.609,60009.51300000002,15213.454000000003,759550.6095238092,497.088095238095,1528,2012-05-01
2012,6,74333.33333333337,78250.00000000001,145474.99322128276,2786.318,31836.169,2610.76,831758.2166666663,505.628095238095,1645,2012-06-01
2012,7,77400.00000000006,75249.99999999994,107000.00000000004,2110.4800000000014,43739.299000000035,51.315,838748.3225,491.9345,1705,2012-07-01
2012,8,85399.99999999999,79125,139999.9999999999,302.078,19686.012,433.929,807108.0845454547,480.994090909091,1678,2012-08-01
2012,9,82500.00000000001,95999.99999999996,205249.99999999985,34.349,1097.4330000000002,1571.272,757579.9647058818,474.971764705882,1595,2012-09-01
2012,10,83000.00000000001,82444.44444444444,139999.9999999999,7392.5039999999935,50721.09699999997,150.131,784348.4999999995,475.362727272727,1650,2012-10-01
2012,11,83499.99999999993,84666.6666666667,149999.99999999994,7308.017999999999,108437.95500000002,44.568,792941.325,480.5705,1650,2012-11-01
2012,12,84833.33333333333,103888.88888888885,149999.99999999994,4835.112999999999,60548.53400000002,5750.28,1006740.9684210536,477.128421052632,2110,2012-12-01
2013,1,158817.85420035818,94662.87327590986,171500.00000000003,3.151,381.685,36666.15799999999,980787.4204545448,472.668636363636,2075,2013-01-01
