ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS
2012,4,5,ANCHOVETA,50000,734,763.0609999999998,1
2012,5,5,ANCHOVETA,50000,569,588.5899999999999,1
2012,6,5,ANCHOVETA,50000,197,191.14,1
2012,10,5,ANCHOVETA,60000,338,364.13000000000005,1
2012,11,5,ANCHOVETA,60000,461,463.08,1
2013,3,5,ANCHOVETA,79792,2435.756,2471.5109999999995,1
2013,4,5,ANCHOVETA,79785,1713.8729999999998,1709.563,1
2013,5,5,ANCHOVETA,79795,310.10699999999997,321.37199999999996,1
2014,3,5,ANCHOVETA,85559,1231.815,1410.308,1
2014,4,5,ANCHOVETA,85559,1165.021,1046.0130000000004,1
2014,5,5,ANCHOVETA,85559,932.669,931.9479999999998,1
2014,6,5,ANCHOVETA,85559,30.109,30.109,1
2014,11,5,ANCHOVETA,75000,11.295,11.295,1
2015,7,5,ANCHOVETA,100000,163.573,163.573,1
2015,11,5,ANCHOVETA,100000,63.347,81.73799999999999,1
2015,12,5,ANCHOVETA,100000,426.98,429.52299999999997,1
2016,3,5,ANCHOVETA,100000,8,7.645,1
2016,4,5,ANCHOVETA,100000,82,146.578,1
2016,5,5,ANCHOVETA,100000,939,902.002,1
2016,6,5,ANCHOVETA,100000,291,263.46700000000004,1
2016,7,5,ANCHOVETA,100000,319,319.473,1
2017,3,5,ANCHOVETA,94180,69,68.844,1
2017,4,5,ANCHOVETA,90000,522,522.129,1
2017,5,5,ANCHOVETA,90000,2352,2543.290000000001,1
2017,6,5,ANCHOVETA,90000,652,460.27799999999996,1
2018,3,5,ANCHOVETA,90000,837.255,837.2550000000002,1
2018,4,5,ANCHOVETA,89999.99999999999,379.513,379.51300000000003,1
2018,7,5,ANCHOVETA,90000,13.099,13.099,1
2018,11,5,ANCHOVETA,90000,51.049,51.649,1
2018,12,5,ANCHOVETA,90000,13.301,13.301,1
2019,4,5,ANCHOVETA,100000,1809.88,1812.657,1
2019,5,5,ANCHOVETA,100000,1150.3900000000003,1151.096,1
2019,6,5,ANCHOVETA,100000,101.86,101.898,1
2019,7,5,ANCHOVETA,100000,4.74,4.747,1
2020,4,5,ANCHOVETA,100000,276.763,198.868,1
2012,3,5,JUREL,59000,226,258.15,1
2016,3,5,JUREL,114000,4,30.003,1
2016,5,5,JUREL,700000,1,2.08,1
2017,5,5,JUREL,120000,79,84.87700000000001,1
2020,2,5,JUREL,120000,135.234,139.03400000000002,1
2020,3,5,JUREL,120000,114.849,117.24900000000001,1
2020,4,5,JUREL,120000,210.989,214.189,1
2022,1,5,JUREL,350000,35.572,6.183999999999999,1
2012,4,5,SARDINA COMUN,50000,2949,3069.485,1
2012,5,5,SARDINA COMUN,50000,2212,2449.341000000001,1
2012,6,5,SARDINA COMUN,50000,900,909.941,1
2012,7,5,SARDINA COMUN,50000,583,589.9700000000001,1
2012,8,5,SARDINA COMUN,50000,5,3.935,1
2012,10,5,SARDINA COMUN,60000,1292,1353.6449999999995,1
2012,11,5,SARDINA COMUN,60000,1322,1399.62,1
2013,3,5,SARDINA COMUN,79792,2494.115,2537.24,1
2013,4,5,SARDINA COMUN,79785,2084.822,2101.242,1
2013,5,5,SARDINA COMUN,79795,538.833,561.243,1
2013,6,5,SARDINA COMUN,91053,2.005,6.9990000000000006,1
2014,3,5,SARDINA COMUN,85559.00000000001,3216.545,3297.8100000000004,1
2014,4,5,SARDINA COMUN,85559,3112.487,3793.957999999999,1
2014,5,5,SARDINA COMUN,85559,2328.714,1638.9130000000002,1
2014,6,5,SARDINA COMUN,85559,38.956,50.78,1
2014,11,5,SARDINA COMUN,75000,158.14499999999998,158.245,1
2014,12,5,SARDINA COMUN,75000,113.241,114.156,1
2015,7,5,SARDINA COMUN,100000,388.498,392.8179999999999,1
2015,11,5,SARDINA COMUN,100000,995.079,1066.408,1
2015,12,5,SARDINA COMUN,100000,686.4670000000001,668.6550000000001,1
2016,4,5,SARDINA COMUN,100000,788,1290.5769999999998,1
2016,5,5,SARDINA COMUN,100000,3077,2680.069,1
2016,6,5,SARDINA COMUN,100000,466,384.884,1
2016,7,5,SARDINA COMUN,100000,541,547.2590000000001,1
2017,3,5,SARDINA COMUN,91527,440,456.58099999999996,1
