ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,Q_MERCADO_TOTAL,N_PLANTAS,Deflactor_2024,PRECIO_REAL,Fecha,Especie,Region_Label
2012,4,5,ANCHOVETA,50000,734,763.0609999999998,1,0.5994146328347614,83414.71372418653,2012-04-01,Anchoveta,Región 5
2012,5,5,ANCHOVETA,50000,569,588.5899999999999,1,0.5994146328347614,83414.71372418653,2012-05-01,Anchoveta,Región 5
2012,6,5,ANCHOVETA,50000,197,191.14,1,0.597616388936257,83665.7108567568,2012-06-01,Anchoveta,Región 5
2012,10,5,ANCHOVETA,60000,338,364.13000000000005,1,0.6072237273759696,98810.36806529516,2012-10-01,Anchoveta,Región 5
2012,11,5,ANCHOVETA,60000,461,463.08,1,0.6041876087390897,99306.9025781861,2012-11-01,Anchoveta,Región 5
2013,3,5,ANCHOVETA,79792,2435.756,2471.5109999999995,1,0.6084253854602865,131145.08682052392,2013-03-01,Anchoveta,Región 5
2013,4,5,ANCHOVETA,79785,1713.8729999999998,1709.563,1,0.6053832585329851,131792.5444343169,2013-04-01,Anchoveta,Región 5
2013,5,5,ANCHOVETA,79795,310.10699999999997,321.37199999999996,1,0.6053832585329851,131809.06289573625,2013-05-01,Anchoveta,Región 5
2014,3,5,ANCHOVETA,85559,1231.815,1410.308,1,0.6312816857494027,135532.206828449,2014-03-01,Anchoveta,Región 5
2014,4,5,ANCHOVETA,85559,1165.021,1046.0130000000004,1,0.6350693758638991,134723.8636465696,2014-04-01,Anchoveta,Región 5
2014,5,5,ANCHOVETA,85559,932.669,931.9479999999998,1,0.6369745839914907,134320.9009437384,2014-05-01,Anchoveta,Región 5
2014,6,5,ANCHOVETA,85559,30.109,30.109,1,0.637611558575482,134186.71422950894,2014-06-01,Anchoveta,Región 5
2014,11,5,ANCHOVETA,75000,11.295,11.295,1,0.6523891682697527,114962.05585220366,2014-11-01,Anchoveta,Región 5
2015,7,5,ANCHOVETA,100000,163.573,163.573,1,0.6681859323947831,149658.94244675175,2015-07-01,Anchoveta,Región 5
2015,11,5,ANCHOVETA,100000,63.347,81.73799999999999,1,0.6789324602915188,147290.05585778324,2015-11-01,Anchoveta,Región 5
2015,12,5,ANCHOVETA,100000,426.98,429.523,1,0.6789324602915188,147290.05585778324,2015-12-01,Anchoveta,Región 5
2016,3,5,ANCHOVETA,100000,8,7.645,1,0.6871116003765981,145536.76570908003,2016-03-01,Anchoveta,Región 5
2016,4,5,ANCHOVETA,100000,82,146.578,1,0.6891729351777279,145101.46132510473,2016-04-01,Anchoveta,Región 5
2016,5,5,ANCHOVETA,100000,939,902.002,1,0.6905512810480834,144811.83764980512,2016-05-01,Anchoveta,Región 5
2016,6,5,ANCHOVETA,100000,291,263.46700000000004,1,0.6933134861722756,144234.89805757484,2016-06-01,Anchoveta,Región 5
2016,7,5,ANCHOVETA,100000,319,319.473,1,0.6947001131446202,143947.0040494759,2016-07-01,Anchoveta,Región 5
2017,3,5,ANCHOVETA,94180,69,68.844,1,0.7044739323333401,133688.41014181954,2017-03-01,Anchoveta,Región 5
2017,4,5,ANCHOVETA,90000,522,522.129,1,0.7058828801980068,127499.90476430615,2017-04-01,Anchoveta,Región 5
2017,5,5,ANCHOVETA,90000,2352,2543.290000000001,1,0.7065887630782048,127372.53223207408,2017-05-01,Anchoveta,Región 5
2017,6,5,ANCHOVETA,90000,652,460.278,1,0.703762408025892,127884.06850609848,2017-06-01,Anchoveta,Región 5
2018,3,5,ANCHOVETA,90000,837.255,837.2550000000002,1,0.7158004519824158,125733.36570372956,2018-03-01,Anchoveta,Región 5
2018,4,5,ANCHOVETA,89999.99999999999,379.513,379.513,1,0.717947853338363,125357.29382226277,2018-04-01,Anchoveta,Región 5
2018,7,5,ANCHOVETA,90000,13.099,13.099,1,0.7237050857896574,124360.04909623948,2018-07-01,Anchoveta,Región 5
2018,11,5,ANCHOVETA,90000,51.049,51.649,1,0.7302372652629169,123247.61318171858,2018-11-01,Anchoveta,Región 5
2018,12,5,ANCHOVETA,90000,13.301,13.301,1,0.729507027997654,123370.98416588445,2018-12-01,Anchoveta,Región 5
2019,4,5,ANCHOVETA,100000,1809.88,1812.657,1,0.736089380853882,135853.06703378537,2019-04-01,Anchoveta,Región 5
2019,5,5,ANCHOVETA,100000,1150.3900000000003,1151.096,1,0.7405059171390053,135042.81017274887,2019-05-01,Anchoveta,Región 5
2019,6,5,ANCHOVETA,100000,101.86,101.898,1,0.7405059171390053,135042.81017274887,2019-06-01,Anchoveta,Región 5
2019,7,5,ANCHOVETA,100000,4.74,4.747,1,0.7419869289732833,134773.26364545795,2019-07-01,Anchoveta,Región 5
2020,4,5,ANCHOVETA,100000,276.763,198.868,1,0.7607207978032042,131454.27374771165,2020-04-01,Anchoveta,Región 5
2012,3,5,JUREL,59000,226,258.15,1,0.5988158170177438,98527.79155673462,2012-03-01,Jurel,Región 5
2016,3,5,JUREL,114000,4,30.003,1,0.6871116003765981,165911.91290835125,2016-03-01,Jurel,Región 5
2016,5,5,JUREL,700000,1,2.08,1,0.6905512810480834,1013682.8635486359,2016-05-01,Jurel,Región 5
2017,5,5,JUREL,120000,79,84.87700000000001,1,0.7065887630782048,169830.04297609878,2017-05-01,Jurel,Región 5
2020,2,5,JUREL,120000,135.234,139.03400000000002,1,0.7584454614189474,158218.3638827457,2020-02-01,Jurel,Región 5
2020,3,5,JUREL,120000,114.849,117.249,1,0.7607207978032042,157745.12849725396,2020-03-01,Jurel,Región 5
2020,4,5,JUREL,120000,210.989,214.189,1,0.7607207978032042,157745.12849725396,2020-04-01,Jurel,Región 5
2022,1,5,JUREL,350000,35.572,6.183999999999999,1,0.8387049981419062,417310.0205380928,2022-01-01,Jurel,Región 5
2012,4,5,SARDINA COMUN,50000,2949,3069.485,1,0.5994146328347614,83414.71372418653,2012-04-01,Sardina Comun,Región 5
2012,5,5,SARDINA COMUN,50000,2212,2449.341000000001,1,0.5994146328347614,83414.71372418653,2012-05-01,Sardina Comun,Región 5
2012,6,5,SARDINA COMUN,50000,900,909.941,1,0.597616388936257,83665.7108567568,2012-06-01,Sardina Comun,Región 5
2012,7,5,SARDINA COMUN,50000,583,589.9700000000001,1,0.597616388936257,83665.7108567568,2012-07-01,Sardina Comun,Región 5
2012,8,5,SARDINA COMUN,50000,5,3.935,1,0.5988116217141296,83498.713429897,2012-08-01,Sardina Comun,Región 5
2012,10,5,SARDINA COMUN,60000,1292,1353.6449999999995,1,0.6072237273759696,98810.36806529516,2012-10-01,Sardina Comun,Región 5
2012,11,5,SARDINA COMUN,60000,1322,1399.62,1,0.6041876087390897,99306.9025781861,2012-11-01,Sardina Comun,Región 5
2013,3,5,SARDINA COMUN,79792,2494.115,2537.24,1,0.6084253854602865,131145.08682052392,2013-03-01,Sardina Comun,Región 5
2013,4,5,SARDINA COMUN,79785,2084.822,2101.242,1,0.6053832585329851,131792.5444343169,2013-04-01,Sardina Comun,Región 5
2013,5,5,SARDINA COMUN,79795,538.833,561.243,1,0.6053832585329851,131809.06289573625,2013-05-01,Sardina Comun,Región 5
2013,6,5,SARDINA COMUN,91053,2.005,6.9990000000000006,1,0.6090155580841831,149508.4957869236,2013-06-01,Sardina Comun,Región 5
2014,3,5,SARDINA COMUN,85559.00000000001,3216.545,3297.8100000000004,1,0.6312816857494027,135532.20682844904,2014-03-01,Sardina Comun,Región 5
2014,4,5,SARDINA COMUN,85559,3112.487,3793.957999999999,1,0.6350693758638991,134723.8636465696,2014-04-01,Sardina Comun,Región 5
2014,5,5,SARDINA COMUN,85559,2328.714,1638.9130000000002,1,0.6369745839914907,134320.9009437384,2014-05-01,Sardina Comun,Región 5
2014,6,5,SARDINA COMUN,85559,38.956,50.78,1,0.637611558575482,134186.71422950894,2014-06-01,Sardina Comun,Región 5
2014,11,5,SARDINA COMUN,75000,158.14499999999998,158.245,1,0.6523891682697527,114962.05585220366,2014-11-01,Sardina Comun,Región 5
2014,12,5,SARDINA COMUN,75000,113.241,114.156,1,0.6497796115966737,115423.75085562615,2014-12-01,Sardina Comun,Región 5
2015,7,5,SARDINA COMUN,100000,388.498,392.8179999999999,1,0.6681859323947831,149658.94244675175,2015-07-01,Sardina Comun,Región 5
2015,11,5,SARDINA COMUN,100000,995.079,1066.408,1,0.6789324602915188,147290.05585778324,2015-11-01,Sardina Comun,Región 5
2015,12,5,SARDINA COMUN,100000,686.4670000000001,668.6550000000001,1,0.6789324602915188,147290.05585778324,2015-12-01,Sardina Comun,Región 5
2016,4,5,SARDINA COMUN,100000,788,1290.5769999999998,1,0.6891729351777279,145101.46132510473,2016-04-01,Sardina Comun,Región 5
2016,5,5,SARDINA COMUN,100000,3077,2680.069,1,0.6905512810480834,144811.83764980512,2016-05-01,Sardina Comun,Región 5
2016,6,5,SARDINA COMUN,100000,466,384.884,1,0.6933134861722756,144234.89805757484,2016-06-01,Sardina Comun,Región 5
2016,7,5,SARDINA COMUN,100000,541,547.2590000000001,1,0.6947001131446202,143947.0040494759,2016-07-01,Sardina Comun,Región 5
2017,3,5,SARDINA COMUN,91527,440,456.581,1,0.7044739323333401,129922.47945477083,2017-03-01,Sardina Comun,Región 5
2017,4,5,SARDINA COMUN,90000,1005,1010.692,1,0.7058828801980068,127499.90476430615,2017-04-01,Sardina Comun,Región 5
2017,5,5,SARDINA COMUN,90600,1017,1085.6780000000003,1,0.7065887630782048,128221.68244695457,2017-05-01,Sardina Comun,Región 5
2017,6,5,SARDINA COMUN,90000,549,488.043,1,0.703762408025892,127884.06850609848,2017-06-01,Sardina Comun,Región 5
2018,3,5,SARDINA COMUN,89999.99999999999,1778.6760000000002,1780.0160000000003,1,0.7158004519824158,125733.36570372953,2018-03-01,Sardina Comun,Región 5
2018,4,5,SARDINA COMUN,90000,1871.9370000000004,1871.977,1,0.717947853338363,125357.29382226279,2018-04-01,Sardina Comun,Región 5
2018,7,5,SARDINA COMUN,90000,14.236,14.236,1,0.7237050857896574,124360.04909623948,2018-07-01,Sardina Comun,Región 5
2018,11,5,SARDINA COMUN,90000,903.216,987.1539999999998,1,0.7302372652629169,123247.61318171858,2018-11-01,Sardina Comun,Región 5
2018,12,5,SARDINA COMUN,90000,135.376,51.437999999999995,1,0.729507027997654,123370.98416588445,2018-12-01,Sardina Comun,Región 5
2019,4,5,SARDINA COMUN,100000,235.59,254.118,1,0.736089380853882,135853.06703378537,2019-04-01,Sardina Comun,Región 5
2019,5,5,SARDINA COMUN,100000,621.68,631.995,1,0.7405059171390053,135042.81017274887,2019-05-01,Sardina Comun,Región 5
2019,6,5,SARDINA COMUN,100000,295.06,295.07899999999995,1,0.7405059171390053,135042.81017274887,2019-06-01,Sardina Comun,Región 5
2019,7,5,SARDINA COMUN,10000,0.73,0.73,1,0.7419869289732833,13477.326364545796,2019-07-01,Sardina Comun,Región 5
2019,11,5,SARDINA COMUN,10000,3.33,3.33,1,0.7501680887239335,13330.345758922387,2019-11-01,Sardina Comun,Región 5
2019,12,5,SARDINA COMUN,10000,125.94,126.229,1,0.7509182568126574,13317.028730192194,2019-12-01,Sardina Comun,Región 5
2020,4,5,SARDINA COMUN,100000,373.377,382.4770000000001,1,0.7607207978032042,131454.27374771165,2020-04-01,Sardina Comun,Región 5
2012,8,5,SARDINA ESPAÑOLA,59000,10,0,1,0.5988116217141296,98528.48184727847,2012-08-01,Sardina Española,Región 5
2012,2,8,ANCHOVETA,62000,10,255.91999999999993,1,0.5976205758660117,103744.75462153529,2012-02-01,Anchoveta,Región 8
2012,3,8,ANCHOVETA,65680.49490538574,2748,6355.603999999999,5,0.5988158170177438,109683.96798950876,2012-03-01,Anchoveta,Región 8
2012,4,8,ANCHOVETA,71625.90113285273,11652,29744.708999999988,5,0.5994146328347614,119493.08076467596,2012-04-01,Anchoveta,Región 8
2012,5,8,ANCHOVETA,73935.16912402428,4612,10106.861,4,0.5994146328347614,123345.619332596,2012-05-01,Anchoveta,Región 8
2012,6,8,ANCHOVETA,79257.51503006012,998,2533.747,4,0.597616388936257,132622.72671460136,2012-06-01,Anchoveta,Región 8
2012,7,8,ANCHOVETA,76176.4705882353,663,1925.8370000000011,3,0.597616388936257,127467.17124647068,2012-07-01,Anchoveta,Región 8
2012,8,8,ANCHOVETA,85886.52482269504,141,296.47,3,0.5988116217141296,143428.28647319897,2012-08-01,Anchoveta,Región 8
2012,9,8,ANCHOVETA,84000,35,34.339,1,0.6036021146878425,139164.5223831617,2012-09-01,Anchoveta,Región 8
2012,10,8,ANCHOVETA,86921.86128182616,3417,6961.278999999993,5,0.6072237273759696,143146.35176962952,2012-10-01,Anchoveta,Región 8
2012,11,8,ANCHOVETA,86910.84830566295,4397,6600.458,4,0.6041876087390897,143847.45242796635,2012-11-01,Anchoveta,Región 8
2012,12,8,ANCHOVETA,95284.3295638126,2476,4562.525,4,0.6041876087390897,157706.52722035526,2012-12-01,Anchoveta,Región 8
2013,2,8,ANCHOVETA,221303,3.641,15.942,1,0.6060013799405244,365185.63707184896,2013-02-01,Anchoveta,Región 8
2013,3,8,ANCHOVETA,91914.85021424932,8316.245,18801.633,6,0.6084253854602865,151070.04475941422,2013-03-01,Anchoveta,Región 8
2013,4,8,ANCHOVETA,87400.45266010179,2798.126,5236.368999999996,3,0.6053832585329851,144372.1005299978,2013-04-01,Anchoveta,Región 8
2013,5,8,ANCHOVETA,93525.9681177288,1656.281,2529.2860000000005,3,0.6053832585329851,154490.50960604474,2013-05-01,Anchoveta,Región 8
2013,6,8,ANCHOVETA,93043.80776964802,1420.296,1822.6490000000008,3,0.6090155580841831,152777.3905519615,2013-06-01,Anchoveta,Región 8
2013,7,8,ANCHOVETA,96677.17438971747,227.026,569.511,2,0.6108426047584355,158268.5517293764,2013-07-01,Anchoveta,Región 8
2013,10,8,ANCHOVETA,96830.4867808418,344.5,984.5780000000004,2,0.61573973602921,157258.7915233203,2013-10-01,Anchoveta,Región 8
2013,11,8,ANCHOVETA,92241.17224275888,854.84,1858.4690000000005,2,0.6182026949733268,149208.62201472407,2013-11-01,Anchoveta,Región 8
2013,12,8,ANCHOVETA,124334.55109744596,1029.709,2635.533999999999,2,0.6219119111431668,199923.0901831427,2013-12-01,Anchoveta,Región 8
2014,3,8,ANCHOVETA,97765.4230333438,2680.349,9088.817999999996,4,0.6312816857494027,154868.1440319074,2014-03-01,Anchoveta,Región 8
2014,4,8,ANCHOVETA,100668.09916478848,8806.392,26567.70700000004,4,0.6350693758638991,158515.12132489056,2014-04-01,Anchoveta,Región 8
2014,5,8,ANCHOVETA,103679.72729639284,2977.0930000000003,8136.257000000001,2,0.6369745839914907,162769.01763756698,2014-05-01,Anchoveta,Región 8
2014,6,8,ANCHOVETA,101660,311.82700000000006,1311.299000000001,1,0.637611558575482,159438.76586416247,2014-06-01,Anchoveta,Región 8
2014,7,8,ANCHOVETA,96266,2124.617,1962.9820000000009,1,0.638886781692633,150677.71435958953,2014-07-01,Anchoveta,Región 8
2014,10,8,ANCHOVETA,107642,451.657,2288.398999999998,1,0.6523891682697527,164996.60821390542,2014-10-01,Anchoveta,Región 8
2014,11,8,ANCHOVETA,119994,177.897,2722.4699999999993,1,0.6523891682697527,183930.09239905767,2014-11-01,Anchoveta,Región 8
2014,12,8,ANCHOVETA,114530,47.281,334.15800000000013,1,0.6497796115966737,176259.76247326485,2014-12-01,Anchoveta,Región 8
2016,3,8,ANCHOVETA,129284.49895470384,2870,30288.52300000004,2,0.6871116003765981,188156.47834186538,2016-03-01,Anchoveta,Región 8
2016,4,8,ANCHOVETA,127993.37728937728,546,7406.190000000009,2,0.6891729351777279,185720.26084624117,2016-04-01,Anchoveta,Región 8
2016,5,8,ANCHOVETA,130000,27,6495.779999999998,1,0.6905512810480834,188255.38894474666,2016-05-01,Anchoveta,Región 8
2017,3,8,ANCHOVETA,100000,2395,13024.406000000004,2,0.7044739323333401,141949.89397092751,2017-03-01,Anchoveta,Región 8
2017,4,8,ANCHOVETA,130349,689,5362.295999999999,2,0.7058828801980068,184660.9454013616,2017-04-01,Anchoveta,Región 8
2017,5,8,ANCHOVETA,111783.85601577908,507,5808.296999999999,2,0.7065887630782048,158202.1422599483,2017-05-01,Anchoveta,Región 8
2017,6,8,ANCHOVETA,130108,68,1219.968,1,0.703762408025892,184874.89316879402,2017-06-01,Anchoveta,Región 8
2017,10,8,ANCHOVETA,95000,318,2871.225,1,0.7093981148351857,133916.3412100007,2017-10-01,Anchoveta,Región 8
2017,11,8,ANCHOVETA,96041,1746,15138.645000000006,1,0.7101075129500207,135248.5338466763,2017-11-01,Anchoveta,Región 8
2017,12,8,ANCHOVETA,97031,1405,4299.402000000001,1,0.7108176204629706,136506.18274882052,2017-12-01,Anchoveta,Región 8
2018,2,8,ANCHOVETA,215570,121.664,380.598,1,0.7143717085652854,301761.67031158315,2018-02-01,Anchoveta,Región 8
2018,3,8,ANCHOVETA,131071.00000000004,2179.8199999999997,13120.591000000004,2,0.7158004519824158,183111.08862392826,2018-03-01,Anchoveta,Región 8
2018,4,8,ANCHOVETA,146955,2001.551,10074.789999999995,2,0.717947853338363,204687.5679294514,2018-04-01,Anchoveta,Región 8
2018,5,8,ANCHOVETA,146284,690.259,6173.609,1,0.720101696898378,203143.52907384394,2018-05-01,Anchoveta,Región 8
2018,6,8,ANCHOVETA,155509,1422.888,5222.4,1,0.7208217985952763,215738.4811378526,2018-06-01,Anchoveta,Región 8
2018,10,8,ANCHOVETA,139712,29.837,1521.0370000000005,1,0.7302372652629169,191324.11703160295,2018-10-01,Anchoveta,Región 8
2018,11,8,ANCHOVETA,155022,734.3719999999998,15687.297000000031,1,0.7302372652629169,212289.90545173752,2018-11-01,Anchoveta,Región 8
2018,12,8,ANCHOVETA,179945,124.501,1137.811,1,0.729507027997654,246666.57495255643,2018-12-01,Anchoveta,Región 8
2019,3,8,ANCHOVETA,145888,3388.4300000000003,31654.06500000004,1,0.7338877177007798,198787.90240155152,2019-03-01,Anchoveta,Región 8
2019,4,8,ANCHOVETA,156103,4470.09,42787.06300000001,1,0.736089380853882,212070.71323174998,2019-04-01,Anchoveta,Región 8
2019,5,8,ANCHOVETA,176030,1529.42,24589.316,1,0.7405059171390053,237715.85874708986,2019-05-01,Anchoveta,Región 8
2019,6,8,ANCHOVETA,162996,576.91,10208.127999999995,1,0.7405059171390053,220114.37886917376,2019-06-01,Anchoveta,Región 8
2019,7,8,ANCHOVETA,84863,58.38999999999999,3909.3800000000015,1,0.7419869289732833,114372.63472744498,2019-07-01,Anchoveta,Región 8
2019,11,8,ANCHOVETA,157711,3420.239999999999,26947.857000000004,1,0.7501680887239335,210234.21599854087,2019-11-01,Anchoveta,Región 8
