"","ANIO","REG","MES","NM_RECURSO","Precio_ponderado","Q_total_consolidado","N_Plantas_Compradoras"
"1",2012,1,2,"ANCHOVETA",67000,18963,1
"2",2012,1,3,"ANCHOVETA",70000,8013,1
"3",2012,1,5,"ANCHOVETA",86000,1067,1
"4",2012,1,6,"ANCHOVETA",88000,13747,1
"5",2012,1,7,"ANCHOVETA",89000,28121,1
"6",2012,1,8,"ANCHOVETA",90000,18620,1
"7",2012,1,9,"ANCHOVETA",84000,1353,1
"8",2012,1,10,"ANCHOVETA",85000,24874,1
"9",2012,1,11,"ANCHOVETA",97000,27230,1
"10",2012,1,12,"ANCHOVETA",99000,2743,1
"11",2013,1,1,"ANCHOVETA",97022,14761.172,1
"12",2013,1,5,"ANCHOVETA",97577,11410.641,1
"13",2013,1,6,"ANCHOVETA",94819,842.881,1
"14",2013,1,7,"ANCHOVETA",94322,13211.658,1
"15",2013,1,8,"ANCHOVETA",92243,2646.201,1
"16",2015,1,3,"ANCHOVETA",128574,13318.31,1
"17",2015,1,4,"ANCHOVETA",117366,16144.986,1
"18",2015,1,5,"ANCHOVETA",112405,1922.913,1
"19",2015,1,6,"ANCHOVETA",112249,4739.224,1
"20",2015,1,7,"ANCHOVETA",114415,6599.627,1
"21",2015,1,8,"ANCHOVETA",116036,11534.608,1
"22",2016,1,7,"ANCHOVETA",185650,9684,1
"23",2016,1,11,"ANCHOVETA",171140,703,1
"24",2017,1,2,"ANCHOVETA",105486,16542,1
"25",2017,1,3,"ANCHOVETA",98726,21962,1
"26",2017,1,4,"ANCHOVETA",97979,22624,1
"27",2017,1,5,"ANCHOVETA",96880,8638,1
"28",2018,1,9,"ANCHOVETA",116741,24.509,1
"29",2018,1,10,"ANCHOVETA",121251,25037.347,1
"30",2018,1,11,"ANCHOVETA",113139,15521.501,1
"31",2020,1,3,"ANCHOVETA",139284,1767.05,1
"32",2020,1,4,"ANCHOVETA",155444,1744.735,1
