"ANIO","MES_NUM","Origen_Especie","Q_Total","P_Promedio"
2012,1,"Anchoveta",6.85,62000
2012,1,"Jurel",67350.716,163000
2012,1,"Sardina",16.88,62000
2012,2,"Anchoveta",257.866,62000
2012,2,"Sardina",34840.463,64500
2012,3,"Anchoveta",6729.877,62666.6666666667
2012,3,"Jurel",25882.192,59000
2012,3,"Sardina",246995.9,64000
2012,4,"Anchoveta",30577.224,62000
2012,4,"Sardina",190814.775,66750
2012,5,"Anchoveta",10886.609,65500
2012,5,"Sardina",60009.513,92375
2012,6,"Anchoveta",2786.318,70250
2012,6,"Sardina",31836.169,76833.3333333333
2012,7,"Anchoveta",2110.48,75000
2012,7,"Jurel",51.315,96000
2012,7,"Sardina",43739.299,73333.3333333333
2012,8,"Anchoveta",302.078,84666.6666666667
2012,8,"Sardina",19686.012,74142.8571428571
2012,9,"Anchoveta",34.349,82000
2012,9,"Jurel",1571.272,227000
2012,9,"Sardina",1097.433,99000
2012,10,"Anchoveta",7392.50399999999,80500
2012,10,"Sardina",50721.097,80857.1428571429
2012,11,"Anchoveta",7308.018,81000
2012,11,"Sardina",108437.955,83571.4285714286
2012,12,"Anchoveta",4835.113,81500
2012,12,"Sardina",60548.534,107428.571428571
2013,2,"Anchoveta",252.02,221303
2013,2,"Sardina",12087.563,149998
2013,3,"Anchoveta",21597.034,89400
2013,3,"Sardina",67779.914,106600.333333333
2013,4,"Anchoveta",7411.365,82392.5
2013,4,"Sardina",22539.181,92289
2013,5,"Anchoveta",3483.217,84897.5
2013,5,"Sardina",19175.103,96317
2013,6,"Anchoveta",2842.523,90000
2013,6,"Sardina",10071.041,107016
2014,1,"Sardina",43.975,90000
2014,2,"Anchoveta",702.974,88495
2014,2,"Sardina",16066.774,89332.5
2014,3,"Anchoveta",10666.091,91540.2
2014,3,"Sardina",196372.085,83413.4285714286
2014,4,"Anchoveta",27781.904,92993.4
2014,4,"Sardina",119650.443,85014.5714285714
2014,5,"Anchoveta",9203.481,93273
2014,5,"Sardina",48241.112,93969
2014,6,"Anchoveta",1436.469,91437.5
2014,6,"Sardina",42433.877,93436.25
2014,7,"Sardina",41888.492,104269.333333333
2014,8,"Sardina",37.768,119060
2014,10,"Sardina",32348.782,118828
2014,11,"Anchoveta",2850.752,97392
2014,11,"Sardina",44138.744,108806
2014,12,"Sardina",5792.638,114987
2015,1,"Anchoveta",221.374,1040024
2015,2,"Anchoveta",127.823,985320
2015,2,"Sardina",17016.056,834485
2015,3,"Anchoveta",2413.675,803827
2015,3,"Sardina",79484.26,382620.666666667
2015,4,"Sardina",102946.975,299521.666666667
2015,5,"Sardina",71163.354,258531.333333333
