year,month,P_harina_FOB_CLP,Tipo_Cambio,Precio_USD
2012,1,629181.1295454539,501.339545454545,1255
2012,2,612694.2071428566,481.48857142857094,1272.5
2012,3,629800.6022727266,485.395454545454,1297.5
2012,4,677971.395,486.001,1395
2012,5,759550.6095238092,497.088095238095,1528
2012,6,831758.2166666663,505.628095238095,1645
2012,7,838748.3225,491.9345,1705
2012,8,807108.0845454547,480.994090909091,1678
2012,9,757579.9647058818,474.971764705882,1595
2012,10,784348.4999999995,475.362727272727,1650
2012,11,792941.325,480.5705,1650
2012,12,1006740.9684210535,477.128421052632,2110
2013,1,980787.4204545447,472.668636363636,2075
2013,2,993104.3112499999,472.3445,2102.5
2013,3,1031196.33,472.484,2182.5
2013,4,1022177.195454546,472.137272727273,2165
2013,5,949574.0571428568,479.58285714285694,1980
2013,6,898908.7250000001,502.886,1787.5
2013,7,806929.7118181821,504.96227272727293,1598
2013,8,786823.4571428564,512.588571428571,1535
2013,9,721535.1,504.57,1430
2013,10,728673.2590909096,500.806363636364,1455
2013,11,776278.75,519.25,1495
2013,12,769026.8512500001,529.4505,1452.5
2014,1,900061.5181818174,537.029545454545,1676
2014,2,848245.005,554.4085,1530
2014,3,902149.3333333328,563.843333333333,1600
2014,4,899904.9452380945,554.640952380952,1622.5
2014,5,930298.3500000001,555.402,1675
2014,6,1042524.3833333328,553.063333333333,1885
2014,7,1063944.794545455,558.208181818182,1906
2014,8,1094408.28,579.052,1890
2014,9,1070616.2719999999,593.468,1804
2014,10,1238958,589.98,2100
2014,11,1415978.205,592.4595,2390
2014,12,1473457.276,612.919,2404
2015,1,1375314.5952380956,620.909523809524,2215
2015,2,1442115.46875,623.6175,2312.5
2015,3,1330333.8298590914,628.503181818182,2116.67
2015,4,1207325.0438095238,614.727619047619,1964
2015,5,1111902.2210526313,607.596842105263,1830
2015,6,1058391.2000000002,629.994761904762,1680
2015,7,1050788.0403409083,650.139545454545,1616.25
2015,8,1156034.3999999997,688.115714285714,1680
2015,9,1188044.6392857132,691.729047619047,1717.5
2015,10,1269544.7142857148,685.314285714286,1852.5
2015,11,1376324.6547619049,704.002380952381,1955
2015,12,1295797.9200000002,704.238,1840
2016,1,1227311.5999999999,721.948,1700
2016,2,1172301.1285714288,704.084761904762,1665
2016,3,1166335.8136363633,682.067727272727,1710
2016,4,1102038.7666666666,669.932380952381,1645
2016,5,1208615.380681819,681.870454545455,1772.5
2016,6,1309020.2009523814,681.071904761905,1922
2016,7,1155128.4728428575,657.567142857143,1756.67
2016,8,1167553.8854545443,658.890454545454,1772
2016,9,1063125.4857142859,668.632380952381,1590
2016,10,1048996.9263157896,663.922105263158,1580
2016,11,1059127.0142857141,666.117619047619,1590
2016,12,1059129.3511904757,667.168095238095,1587.5
