ANIO,MES,REG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA,Q_MERCADO,N_PLANTAS
2012,2,1,ANCHOVETA,67000,18963,0,1
2012,3,1,ANCHOVETA,70000,8013,0,1
2012,5,1,ANCHOVETA,86000,1067,0,1
2012,6,1,ANCHOVETA,88000,13747,0,1
2012,7,1,ANCHOVETA,89000,28121,0,1
2012,8,1,ANCHOVETA,90000,18620,0,1
2012,9,1,ANCHOVETA,84000,1353,0,1
2012,10,1,ANCHOVETA,85000,24874,0,1
2012,11,1,ANCHOVETA,97000,27230,0,1
2012,12,1,ANCHOVETA,99000,2743,0,1
2013,1,1,ANCHOVETA,97022,14761.172,0,1
2013,5,1,ANCHOVETA,97577,11410.641,0,1
2013,6,1,ANCHOVETA,94819,842.881,0,1
2013,7,1,ANCHOVETA,94322,13211.658,0,1
2013,8,1,ANCHOVETA,92243,2646.201,0,1
2015,3,1,ANCHOVETA,128574,13318.31,0,1
2015,4,1,ANCHOVETA,117366,16144.986,0,1
2015,5,1,ANCHOVETA,112405,1922.913,0,1
2015,6,1,ANCHOVETA,112249,4739.224,0,1
2015,7,1,ANCHOVETA,114415,6599.627,0,1
2015,8,1,ANCHOVETA,116036,11534.608,0,1
2016,7,1,ANCHOVETA,185650,9684,0,1
2016,11,1,ANCHOVETA,171140,703,0,1
2017,2,1,ANCHOVETA,105486,16542,0,1
2017,3,1,ANCHOVETA,98726,21962,0,1
2017,4,1,ANCHOVETA,97979,22624,0,1
2017,5,1,ANCHOVETA,96880,8638,0,1
2018,9,1,ANCHOVETA,116741,24.509,0,1
2018,10,1,ANCHOVETA,121251,25037.347,0,1
2018,11,1,ANCHOVETA,113139,15521.501,0,1
2020,3,1,ANCHOVETA,139284,1767.05,0,1
2020,4,1,ANCHOVETA,155444,1744.735,0,1
2020,5,1,ANCHOVETA,167152,2256.538,0,1
2020,6,1,ANCHOVETA,163016,4833.65,0,1
2020,7,1,ANCHOVETA,169033,4460.896,0,1
2020,8,1,ANCHOVETA,166614,1232.94,0,1
2020,10,1,ANCHOVETA,151259,1598.639,0,1
2020,11,1,ANCHOVETA,135534,1886.19,0,1
2020,12,1,ANCHOVETA,156578,2659.41,0,1
2021,7,1,ANCHOVETA,142236,10676.6,0,1
2021,10,1,ANCHOVETA,161008,6877.349,0,1
2021,11,1,ANCHOVETA,161513,4369.546,0,1
2021,12,1,ANCHOVETA,170513,4485.261,0,1
2022,7,1,ANCHOVETA,197367,12995.446,0,1
2022,8,1,ANCHOVETA,195227,5320.49,0,1
2022,9,1,ANCHOVETA,194655,490.683,0,1
2022,10,1,ANCHOVETA,195887,5077.886,0,1
2022,11,1,ANCHOVETA,191309,6204.471,0,1
2022,12,1,ANCHOVETA,186280,3678.103,0,1
2024,3,1,ANCHOVETA,226568,18.529,0,1
2024,4,1,ANCHOVETA,213084,27.551,0,1
2024,6,1,ANCHOVETA,201226,156.957,0,1
2024,1,1,JUREL,229000,495.517,0,1
2024,2,1,JUREL,229000,3605.926,0,1
2024,3,1,JUREL,226568,6656.575,0,1
2024,4,1,JUREL,210084,4159.895,0,1
2024,5,1,JUREL,194933,4543.703,0,1
2024,6,1,JUREL,201226,3299.22,0,1
2019,3,2,ANCHOVETA,113974,35056.14,0,1
2019,4,2,ANCHOVETA,120600,32193.79,0,1
2019,5,2,ANCHOVETA,126487,28830.34,0,1
2019,6,2,ANCHOVETA,121025,2064.5,0,1
2019,7,2,ANCHOVETA,121937,4520.03,0,1
2019,8,2,ANCHOVETA,126333,2305.89,0,1
2019,11,2,ANCHOVETA,120397,217.54,0,1
2019,12,2,ANCHOVETA,116812,49.74,0,1
2020,3,2,ANCHOVETA,152343,11582.915,0,1
2020,4,2,ANCHOVETA,150699,20084.765,0,1
2020,5,2,ANCHOVETA,145016,12200.065,0,1
2020,6,2,ANCHOVETA,141661,5385.6,0,1
2020,7,2,ANCHOVETA,122984,5031.143,0,1
2020,8,2,ANCHOVETA,126044,654.16,0,1
2020,10,2,ANCHOVETA,127062,147.665,0,1
2020,12,2,ANCHOVETA,121119,36.825,0,1
