year,month,P_jurel,P_anchoveta,Q_jurel,Q_sardina,Q_anchoveta,P_sardina
2012,1,173999.99999999997,62000.00000000005,67350.71600000001,16.880000000000003,6.85,63000.00000000004
2012,2,207999.99999999994,62000.00000000005,40827.648999999976,34840.46299999999,257.86599999999993,65999.99999999996
2012,3,58999.99999999995,67200.00000000003,25882.192,246995.89999999973,6729.8769999999995,66222.22222222223
2012,4,145647.48686021182,66833.33333333336,19438.142999999996,190814.7750000001,30577.22399999999,68699.99999999996
2012,5,145561.21448959617,70333.3333333333,15213.454000000003,60009.51300000002,10886.609,89900.00000000001
2012,6,145474.99322128276,74333.33333333337,2610.7599999999998,31836.169,2786.318,78250.00000000001
2012,7,107000.00000000003,77400.00000000006,51.315,43739.299000000035,2110.4800000000014,75249.99999999994
2012,8,139999.9999999999,85399.99999999999,433.92900000000003,19686.012,302.078,79125
2012,9,205249.99999999983,82500.00000000001,1571.272,1097.4330000000002,34.349,95999.99999999997
2012,10,139999.9999999999,83000.00000000001,150.131,50721.09699999997,7392.5039999999935,82444.44444444444
2012,11,149999.99999999994,83499.99999999993,44.568,108437.95500000002,7308.017999999999,84666.6666666667
2012,12,149999.99999999994,84833.33333333333,5750.28,60548.53400000002,4835.112999999999,103888.88888888883
2013,1,171500.00000000003,158817.85420035818,36666.15799999999,381.685,3.1510000000000002,94662.87327590986
2013,2,149999.99999999994,221302.99999999994,35955.61100000002,12087.563000000006,252.02000000000007,149998.00000000003
2013,3,171419.6373271832,91142.85714285717,39730.952999999994,67779.914,21597.034,113541.33333333333
2013,4,176287.56903390735,88196.24999999994,35259.539000000004,22539.18099999999,7411.364999999996,129823.5000000001
2013,5,181293.73903975968,90948.75000000007,23008.586,19175.102999999996,3483.2170000000006,126607.33333333327
2013,6,186442.07300115857,94666.66666666663,5956.375,10071.041,2842.523000000001,140645.00000000003
2013,7,191736.60805432423,97114.50000000007,0.19499999999999998,33626.899000000005,750.4,237205.33333333323
2013,8,197181.49598105525,96688.89018792454,14.98,8.678,0.3,199339.64094246115
2013,9,202781.00646440408,97107.1099856321,0,114.351,1.9540000000000002,127400.19009890291
2013,10,208539.5304368088,97258.00000000006,0,13120.516999999998,1006.9060000000003,128300.66666666664
2013,11,214461.58352330036,90763.99999999997,8.828000000000001,34613.967000000004,2382.5600000000004,203180.66666666672
2013,12,297824.1432406243,122623.00000000001,7999.157000000002,24428.419000000005,3609.000999999999,232085.00000000017
2014,1,219999.99999999985,141985.16444688456,31786.824000000015,43.97500000000001,2.656,89999.99999999997
2014,2,219999.99999999985,88494.99999999997,39398.319000000025,16066.774000000009,702.9739999999998,89332.50000000007
2014,3,219999.99999999985,93184.50000000003,25714.730000000014,196372.08499999964,10666.090999999995,85588.88888888882
2014,4,219999.99999999985,95045.50000000003,60964.412999999986,119650.44299999997,27781.90400000004,87267.55555555563
2014,5,219999.99999999985,95886.50000000009,40609.842000000004,48241.11200000003,9203.481,94081.71428571435
2014,6,219999.99999999985,94844.99999999991,18459.384000000002,42433.87700000003,1436.4690000000007,93400.8333333333
2014,7,213434.15904344225,96266.00000000009,8554.958999999995,41888.49199999999,2024.5330000000006,98814.80000000008
2014,8,219999.99999999985,107838.26565381323,973.058,37.768,98.94200000000001,119059.99999999999
2014,9,209318.31553423093,115112.31483990593,123.64599999999999,0.631,0.773,50938.908738241036
2014,10,219999.99999999985,107641.99999999997,1155.45,32348.782000000025,2290.498999999998,107574.49999999991
2014,11,203578.14838186698,104926.00000000006,0,44138.743999999984,2850.7519999999995,106702.99999999996
2014,12,167265,114529.99999999991,16240.833000000008,5792.637999999999,390.2230000000001,114895.6
2015,1,199337.6432934756,524522.0698057187,21074.339999999993,208.75699999999998,221.374,176276.43042101432
2015,2,200000.00000000006,524522.0698057187,914.7570000000001,17016.05600000001,127.82300000000001,467242.5000000003
2015,3,200000.00000000006,524522.0698057187,2434.5719999999997,79484.26,2413.6749999999997,275324.0000000002
2015,4,199042.63759185027,524522.0698057187,47534.73600000001,102946.97500000006,27988.314000000006,224165.99999999988
2015,5,198690.50654925755,486228.8411501111,39922.18200000001,71163.35399999999,15680.545,199321.00000000003
2015,6,198338.9984700288,429575.0861660736,53012.099,13037.4,1583.5369999999998,295080.6666666667
2015,7,197988.1122520655,415514.66666666634,23908.951999999994,12892.246000000005,997.9460000000005,269975.7999999999
2015,8,197637.84679521777,316369.88135203195,27841.280000000013,4677.280000000001,63.361000000000004,543693.0000000001
2015,9,197288.20100128246,263734.9180545376,194.066,33.95,40.596,66249.53711901193
2015,10,196939.1737739989,126880.99999999993,173.91600000000003,34077.630999999994,1656.5610000000008,128296.5000000001
2015,11,196590.76401904682,441405.3333333332,112.1,79735.07600000019,9860.358,121784.19999999994
2015,12,196242.97064404102,118239.5000000001,9773.548,23926.19099999999,3558.8079999999995,118204.9999999999
2016,1,200000.00000000006,453160.333333333,63323.89299999995,239.86899999999997,114.639,117678.00000000003
2016,2,200000.00000000006,524522.0698057187,16778.29599999999,29493.965,1383.0869999999998,108933.49999999999
2016,3,156999.9999999999,310097.4000000003,23188.494999999995,40715.301000000014,30622.06000000004,120938.6666666666
2016,4,200000.00000000006,114443.99999999993,45311.535,16313.857000000007,9916.19400000001,111944
2016,5,200000.00000000006,115000.00000000009,42376.958999999995,26720.11800000001,8370.931999999999,109999.99999999991
2016,6,200000.00000000006,524522.0698057187,35130.141,33770.975,5474.125000000001,109999.99999999991
2016,7,200000.00000000006,100000.00000000001,8906.078,20547.013,2900.6509999999994,118304.24999999999
2016,8,204487.81133792992,288725.6626285472,8462.757000000001,71.38700000000003,26.24,328363.7929756713
2016,9,206702.35566144873,387794.2435201824,105.382,208.07800000000003,13.1,30140.80176489583
2016,10,208940.88286457618,524522.0698057187,3670.6779999999994,28470.199000000008,1918.8799999999999,121107.33333333328
2016,11,211203.65267501745,515901.87239083834,3042.278,60041.66000000004,12210.441,117263.0000000001
2016,12,200000.00000000006,524522.0698057187,25621.550000000003,25501.562,972.1309999999999,119794.75000000003
2017,1,232633.00000000003,482734.4590241298,16897.188,202.53199999999998,46.971000000000004,163495.0175822332
2017,2,219196.849804964,223227.80957699186,4012.23,20605.559000000005,1341.0929999999998,100000.00000000001
2017,3,240000.00000000015,98060.00000000007,38980.798,169656.5179999997,13893.260000000002,101305.40000000008
2017,4,240000.00000000015,116899.33333333336,53285.75500000004,34265.10799999998,6200.24,113139.59999999993
2017,5,179999.99999999997,104229.99999999997,70295.02900000004,30949.61300000003,8768.418,105857.99999999994
2017,6,240000.00000000015,110053.99999999991,28097.368999999977,13014.722,2075.8160000000003,108776.99999999993
2017,7,240000.00000000015,108834.22854844834,39117.077000000005,12926.533999999998,1699.8279999999997,196265.49999999983
2017,8,240000.00000000015,106262.33797820251,19115.254000000008,93.36199999999997,93.338,594627.2499999998
2017,9,227497.71704706055,103770.58524047752,4576.857,24.795,18.044,35110.51936562343
2017,10,227400.47477175074,95000.00000000006,3,20624.766999999996,3043.841,213770.83333333314
2017,11,227303.2740619578,96041.00000000001,8.713999999999999,28720.390000000032,15477.358000000007,230635.33333333314
2017,12,227206.11489991445,97031.00000000006,13798.444,13904.765000000009,4618.351000000001,196958.5000000001
2018,1,223732.99999999997,182449.4173141781,47397.35699999999,25.075999999999997,9.254,347128.85243017314
2018,2,227307.66666666677,215569.9999999999,50863.59,15461.510999999999,2141.9160000000006,167784.99999999994
2018,3,230000.0000000002,117380.66666666677,41909.306000000004,129505.82700000008,15468.492000000004,116677.85714285719
2018,4,230000.0000000002,127969.99999999999,42882.01299999999,76365.92200000002,11899.626999999999,123340.99999999996
2018,5,230000.0000000002,146283.99999999997,65005.52299999998,31355.127999999968,7508.4490000000005,117008.59999999999
2018,6,230000.0000000002,155508.9999999999,48548.88200000002,23661.932000000004,5597.892,129719.99999999996
2018,7,210000.0000000001,89999.99999999997,44127.09000000001,1343.4790000000003,16.051000000000002,98620.66666666661
2018,8,210000.0000000001,120071.87921524303,14828.786,60.001000000000005,0.7150000000000001,511779.49777237524
2018,9,210000.0000000001,124170.15039085112,474.97600000000006,161.82000000000002,98.48400000000001,13509.318726401147
2018,10,231218.9675540785,133029.00000000006,30.945,12456.342999999999,1658.6150000000002,119849.19999999994
2018,11,234707.0990230701,127084.33333333334,12.635,47184.33100000007,15864.485000000033,119196.42857142864
2018,12,210000.0000000001,142992.66666666672,48958.817000000025,7839.774000000002,1416.9730000000002,130350.71428571425
2019,1,234999.99999999994,186540.64542231424,51711.32699999996,68.83,199.34,594627.2499999998
2019,2,230000.0000000002,116019.00000000009,69625.81399999998,12962.758,92.64099999999999,182807.99999999997
2019,3,297824.1432406243,143172,75045.51199999997,108830.0610000003,31798.80000000004,245309.83333333334
2019,4,230000.0000000002,131746.33333333323,57823.213,65829.34599999996,44711.911000000015,247995.00000000015
2019,5,230000.0000000002,136960.66666666657,47759.85200000001,32305.721000000016,26871.669,263070.9999999998
2019,6,230000.0000000002,132715.6666666666,57879.61599999997,14043.367000000007,13108.639999999998,248306.71428571417
2019,7,230000.0000000002,122358.66666666667,38361.75800000001,7664.082999999995,4331.212000000001,101409.80000000002
2019,8,297824.1432406243,134547.18989312951,4029.446000000001,10.86,106.595,594627.2499999998
2019,9,242097.4638489477,138599.35397585173,60.07300000000001,14.240999999999998,80.71900000000001,10000.00000000001
2019,10,236115.51125449213,142789.39131898267,22.408,467.69100000000003,104.166,588561.9999999997
2019,11,230281.3658954925,156470.00000000012,575.264,47715.96300000002,28448.712000000003,92156.66666666664
2019,12,230000.0000000002,152402.66666666677,16978.401000000005,30366.256999999994,8315.577999999998,100900.87500000001
2020,1,241904.99999999985,200384.11890093668,80473.19799999999,78.443,35.725,354948.06545874244
2020,2,188001.00000000012,124175.9999999999,102478.11599999994,6170.065,2591.6190000000006,124175.9999999999
2020,3,161986.66666666677,126601.25000000006,77125.61100000002,35224.99100000004,7767.468999999998,139067.4999999999
2020,4,188079.24999999985,142511.74999999988,60908.149999999965,104305.04799999991,53235.635999999984,142578.142857143
2020,5,180162.99999999988,170037.6666666665,66974.86999999998,37355.823,41502.43499999997,156352.16666666677
2020,6,201229.00000000015,163731.66666666674,51820.873999999996,8706.608999999999,13609.636999999999,156032.4999999999
2020,7,210000.0000000001,174124,24631.67599999998,4312.121,6638.683,157374.6666666667
2020,8,212258.25097245222,178945.37745499559,6927.787,332.1839999999999,383.576,594627.2499999998
2020,9,215089.10068518744,185755.90494346342,900.75,24.610999999999997,214.76999999999998,16113.50873260047
2020,10,217957.70492600047,192836.63976295173,0,8246.538999999999,665.724,424788.7380758473
2020,11,220864.56722016996,191823.00000000012,1411.473,30231.040000000005,35925.037999999964,163274.33333333328
2020,12,210000.0000000001,263052.00000000023,23264.14200000001,27299.390999999992,6567.446999999999,187017.33333333343
2021,1,240000.00000000015,285042.82569943316,90400.38299999997,753.226,978.806,456909.2759008758
2021,2,240000.00000000015,186141.7011960897,84373.05900000002,4135.686,1155.0919999999999,163091.11189381324
2021,3,240000.00000000015,158497.9999999999,72789.49000000003,184713.50999999995,56042.23800000011,148998.66666666663
2021,4,240000.00000000015,168097.5000000001,72246.508,95610.41700000019,48236.96999999999,155398.3333333333
2021,5,240000.00000000015,176217.99999999985,70916.72200000004,20628.112000000005,41749.39,160812.0000000001
2021,6,240000.00000000015,189262.00000000006,65446.401000000005,5552.879000000003,15501.41700000001,159631.0000000001
2021,7,240468.79084735794,144209.00000000006,37352.678,1719.8900000000003,3353.3509999999983,144209.00000000006
2021,8,241918.7045758998,161454.76344436253,795.2,5.588,52.107000000000006,594627.2499999998
2021,9,243377.36060240437,162024.31866984905,59.688,2.6029999999999998,16.188000000000002,15223.122305918085
2021,10,244844.8116388164,162605.43635763883,9.5,4915.918000000001,338.657,280313.0029254
2021,11,246321.1107149103,161024.99999999997,72.262,19248.929999999986,7250.078000000004,145512.49999999994
2021,12,247806.3111802049,162192.00000000006,31153.925999999996,6931.9569999999985,536.807,159705.40221447247
2022,1,248504.5677600891,241975.05149953227,97014.66299999996,13.216999999999999,33.513,410807.03903645015
2022,2,250803.63134250222,186160.99999999994,78072.56200000002,14733.465,1048.195,174062.00000000003
2022,3,252315.85924321134,161695.50000000012,82880.50599999998,110846.89700000001,91966.4719999998,182375.99999999985
2022,4,253837.2052231052,168052.5,65485.17499999998,33162.710999999974,59670.838000000076,185526.9999999999
2022,5,255367.72420384604,171073,90509.64799999997,10287.694000000001,23351.412,197957.99999999985
2022,6,256907.47149431577,173214.49999999988,72138.65099999997,12472.874000000003,15566.766000000001,186367.00000000015
2022,7,258456.5027368816,228717.0000000001,55775.65400000001,1201.318,1877.4179999999997,231917.00000000006
2022,8,260014.87390940933,195862.7986783734,13262.097,24.739,1059.2060000000001,594627.2499999998
2022,9,261582.64132728497,193363.36098919716,2876.5870000000004,0.36300000000000004,23.488,18402.364001733997
2022,10,263159.86164544855,203428.9999999999,170.68,7973.253,526.989,206435.00000000015
2022,11,244999.99999999983,172375.0000000001,2653.8039999999996,18881.948999999986,22373.05500000001,171824.50000000012
2022,12,244999.99999999983,165319.99999999997,55399.36,14344.204000000002,1273.6409999999998,164905.49999999994
2023,1,289999.9999999999,258161.86095765283,98336.59599999995,137.90699999999998,558.589,401095.85162779933
2023,2,289999.9999999999,192999.99999999997,116416.41099999995,5676.290999999999,1039.8540000000003,192999.99999999997
2023,3,289999.9999999999,176499.9999999999,95917.84099999999,206754.27699999974,38083.561,176499.9999999999
2023,4,289999.9999999999,180999.99999999985,93841.48000000003,101672.79099999997,47399.75199999994,180999.99999999985
2023,5,289999.9999999999,188499.99999999997,91945.89899999999,40972.83899999999,43375.229999999945,188499.99999999997
2023,6,289999.9999999999,190500.00000000015,78424.89100000005,8954.295,27267.955999999984,190500.00000000015
2023,7,287527.1865449552,230999.99999999988,21642.241999999995,2165.456,6538.208,230999.99999999988
2023,8,288668.1185018717,219677.90117540932,911.177,10.171000000000001,10.704,594627.2499999998
2023,9,289813.5777723475,224993.162897159,19.58,0.17300000000000001,249.94500000000002,23096.6652854513
2023,10,290963.582321142,271000,52.659,4059.0409999999993,2219.705999999999,271000
2023,11,289999.9999999999,203000.0000000001,38856.918000000005,26515.151000000023,24344.917999999987,246000.0000000001
2023,12,293456.04187510995,191500.00000000006,68828.97399999997,13455.284999999996,5020.911999999999,222999.99999999997
2024,1,297824.1432406243,284152.0080165987,143748.73200000008,0.048,96.71600000000001,472632.2836338479
2024,2,295637.8660210009,195585.53066620367,124846.62100000007,5675.273999999992,3378.308999999998,213885.79296192928
2024,3,297824.1432406243,190000.00000000012,104571.62199999997,63773.90400000001,37704.742000000006,190000.00000000012
2024,4,297824.1432406243,190000.00000000012,122787.6279999999,10462.345000000001,22415.662999999997,190000.00000000012
2024,5,297824.1432406243,190000.00000000012,85034.45199999996,9202.513999999997,37413.006000000016,190000.00000000012
2024,6,297407.7868278709,190000.00000000012,31222.401999999987,954.9939999999998,2877.019,190000.00000000012
2024,7,297487.04753344844,187123.64060199747,68234.03600000004,13324.86200000001,6774.584999999996,225121.44925975322
2024,8,297566.3293624119,185392.98031957968,40839.33799999999,73.35,23.629,594627.2499999998
2024,9,297645.6323203908,183678.32648617806,3977.685,49.934,49.57899999999999,21966.33069899415
2024,10,297724.95641301596,181979.53106210486,8932.036,2955.3580000000006,2569.7959999999994,257198.76913185083
2024,11,297804.3016459201,180296.4473768521,34756.84799999999,14975.000999999998,5608.3179999999975,218834.18748191587
2024,12,297824.1432406243,178628.93011643377,113863.534,8168.041000000002,2286.9910000000004,197709.59751964555
