year,month,P_jurel,P_sardina_comun,P_anchoveta,Q_jurel,Q_sardina_comun,Q_anchoveta
2012,1,174000,63000,62000,67350.71600000001,16.880000000000003,6.85
2012,2,208000,66000,62000,40827.648999999976,34840.46299999999,257.86599999999993
2012,3,59000,66222.22222222222,67200,25882.192,246995.89999999973,6729.8769999999995
2012,4,NA,68700,66833.33333333333,19438.142999999996,190814.7750000001,30577.22399999999
2012,5,NA,89900,70333.33333333333,15213.454000000003,60009.51300000002,10886.609
2012,6,NA,78250,74333.33333333333,2610.7599999999998,31836.169,2786.318
2012,7,107000,75250,77400,51.315,43739.299000000035,2110.4800000000014
2012,8,140000,79125,85400,433.92900000000003,19686.012,302.078
2012,9,205250,96000,82500,1571.272,1097.4330000000002,34.349
2012,10,140000,82444.44444444444,83000,150.131,50721.09699999997,7392.5039999999935
2012,11,150000,84666.66666666667,83500,44.568,108437.95500000002,7308.017999999999
2012,12,150000,103888.88888888889,84833.33333333333,5750.28,60548.53400000002,4835.112999999999
2013,1,171500,NA,NA,36666.15799999999,381.685,3.1510000000000002
2013,2,150000,149998,221303,35955.61100000002,12087.563000000006,252.02000000000007
2013,3,NA,113541.33333333333,91142.85714285714,39730.952999999994,67779.914,21597.034
2013,4,NA,129823.5,88196.25,35259.539000000004,22539.18099999999,7411.364999999996
2013,5,NA,126607.33333333334,90948.75,23008.586,19175.102999999996,3483.2170000000006
2013,6,NA,140645,94666.66666666667,5956.375,10071.041,2842.523000000001
2013,7,NA,237205.3333333333,97114.5,0.19499999999999998,33626.899000000005,750.4
2013,8,NA,NA,NA,14.98,8.678,0.3
2013,9,NA,NA,NA,0,114.351,1.9540000000000002
2013,10,NA,128300.66666666667,97258,0,13120.516999999998,1006.9060000000003
2013,11,NA,203180.66666666666,90764,8.828000000000001,34613.967000000004,2382.5600000000004
2013,12,318832,232085,122623,7999.157000000002,24428.419000000005,3609.000999999999
2014,1,220000,90000,NA,31786.824000000015,43.97500000000001,2.656
2014,2,220000,89332.5,88495,39398.319000000025,16066.774000000009,702.9739999999998
2014,3,220000,85588.88888888889,93184.5,25714.730000000014,196372.08499999964,10666.090999999995
2014,4,220000,87267.55555555556,95045.5,60964.412999999986,119650.44299999997,27781.90400000004
2014,5,220000,94081.71428571429,95886.5,40609.842000000004,48241.11200000003,9203.481
2014,6,220000,93400.83333333333,94845,18459.384000000002,42433.87700000003,1436.4690000000007
2014,7,NA,98814.8,96266,8554.958999999995,41888.49199999999,2024.5330000000006
2014,8,220000,119060,NA,973.058,37.768,98.94200000000001
2014,9,NA,NA,NA,123.64599999999999,0.631,0.773
2014,10,220000,107574.5,107642,1155.45,32348.782000000025,2290.498999999998
2014,11,NA,106703,104926,0,44138.743999999984,2850.7519999999995
2014,12,167265,114895.6,114530,16240.833000000008,5792.637999999999,390.2230000000001
2015,1,NA,NA,1040024,21074.339999999993,208.75699999999998,221.374
2015,2,200000,467242.5,985320,914.7570000000001,17016.05600000001,127.82300000000001
2015,3,200000,275324,803827,2434.5719999999997,79484.26,2413.6749999999997
2015,4,NA,224166,NA,47534.73600000001,102946.97500000006,27988.314000000006
2015,5,NA,199321,NA,39922.18200000001,71163.35399999999,15680.545
2015,6,NA,295080.6666666667,NA,53012.099,13037.4,1583.5369999999998
2015,7,NA,269975.8,415514.6666666666,23908.951999999994,12892.246000000005,997.9460000000005
2015,8,NA,543693,NA,27841.280000000013,4677.280000000001,63.361000000000004
2015,9,NA,NA,NA,194.066,33.95,40.596
2015,10,NA,128296.5,126881,173.91600000000003,34077.630999999994,1656.5610000000008
2015,11,NA,121784.2,441405.3333333334,112.1,79735.07600000019,9860.358
2015,12,NA,118205,118239.5,9773.548,23926.19099999999,3558.8079999999995
2016,1,200000,117678,453160.3333333334,63323.89299999995,239.86899999999997,114.639
2016,2,200000,108933.5,605156.5,16778.29599999999,29493.965,1383.0869999999998
2016,3,157000,120938.66666666667,310097.4,23188.494999999995,40715.301000000014,30622.06000000004
2016,4,200000,111944,114444,45311.535,16313.857000000007,9916.19400000001
2016,5,200000,110000,115000,42376.958999999995,26720.11800000001,8370.931999999999
