ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2012,3,ANCHOVETA,62694.845360824744,1455,1,3,NA,0,2012-03-01,6729.8769999999995,1053.2960000000005,5676.580999999999,5,1,0.15651043845229276,0.8434895615477073
2012,3,JUREL,59000,226,1,1,NA,0,2012-03-01,25882.192000000003,25575.942,306.25,2,0,0.9881675400599762,0.011832459940023625
2012,3,SARDINA COMUN,63621.375583844674,109190,2,7,0.022403001781846586,0,2012-03-01,246995.89999999973,14111.308999999996,232884.59099999972,5,3,0.05713175400887226,0.9428682459911277
2016,3,ANCHOVETA,120800.68085106384,282,3,3,0.10816223189242778,0,2016-03-01,30622.06000000004,672.4669999999999,29949.59300000004,4,1,0.021960214303022037,0.9780397856969779
2016,3,JUREL,114000,4,1,1,NA,0,2016-03-01,23188.494999999995,23012.976999999995,175.518,3,0,0.9924308153677072,0.00756918463229287
2016,3,SARDINA COMUN,121408,858,2,2,0,0,2016-03-01,40715.301000000014,13709.154,27006.147000000015,4,1,0.3367076667319737,0.6632923332680264
2017,5,ANCHOVETA,93863.03427771949,2859,2,3,0.1526733863976138,0,2017-05-01,8768.418,356.392,8412.026,5,2,0.040644960128497526,0.9593550398715025
2017,5,JUREL,120000,79,1,1,NA,0,2017-05-01,70295.02900000004,70042.06700000004,252.96200000000002,2,0,0.9964014240608678,0.003598575939132195
2017,5,SARDINA COMUN,103009.75628188172,5293,2,4,0.11052091520896007,0,2017-05-01,30949.613000000027,47.353,30902.260000000028,5,2,0.0015300029761276808,0.9984699970238723
2018,2,ANCHOVETA,215570,121.664,1,1,NA,0,2018-02-01,2141.9160000000006,380.427,1761.4890000000007,3,0,0.17761060657840919,0.8223893934215909
2018,2,JUREL,230000,10949.636,1,1,NA,0,2018-02-01,50863.59,49425.35999999999,1438.2299999999998,3,1,0.9717237811959399,0.028276218804060033
2018,2,SARDINA COMUN,215570,1183.001,1,1,NA,0,2018-02-01,15461.511,6917.638,8543.873,5,1,0.4474102175395406,0.5525897824604593
2020,2,ANCHOVETA,124176,1714.996,1,1,NA,0,2020-02-01,2591.6190000000006,0,2591.6190000000006,5,0,0,1
2020,2,JUREL,199335.1829079683,4969.614000000001,3,3,0.26883276463021183,0,2020-02-01,102478.11599999994,99736.36499999992,2741.751,3,2,0.973245497604581,0.026754502395418763
2020,2,SARDINA COMUN,124176,5300.462,1,1,NA,0,2020-02-01,6170.065,0,6170.065,5,0,0,1
2020,3,ANCHOVETA,134965.90688483568,1686.46,2,3,0.007713084007840097,0,2020-03-01,7767.468999999997,0,7767.468999999997,4,1,0,1
2020,3,JUREL,135341.9363805755,2965.698,2,2,0.08818115508467962,0,2020-03-01,77125.61100000002,74999.18800000002,2126.4229999999993,2,1,0.9724290936249439,0.027570906375056124
