ANIO,MES,NM_RECURSO,PRECIO_MACRO,Q_MUESTRA_TOTAL,N_REGIONES_PRECIO,N_PLANTAS_TOTAL,CV_PRECIO_REGIONAL,N_OUTLIERS_PRECIO,FECHA,Q_MACRO,Q_INDUSTRIAL_MACRO,Q_ARTESANAL_MACRO,N_REGIONES_DESEMB,N_OUTLIERS_CANTIDAD,SHARE_INDUSTRIAL,SHARE_ARTESANAL
2012,1,JUREL,164000,555,1,1,NA,0,2012-01-01,67350.71600000001,66814.505,536.211,4,0,0.9920385256186436,0.007961474381356241
2012,2,ANCHOVETA,62000,10,1,1,NA,0,2012-02-01,257.86599999999993,249.91999999999993,7.946,2,0,0.9691855459812461,0.030814454018753934
2012,2,SARDINA COMUN,66527.34234773244,8357,2,2,0.05481447916174787,0,2012-02-01,34840.46299999999,18585.22,16255.242999999997,4,1,0.5334378019029198,0.46656219809708044
2012,3,ANCHOVETA,62694.845360824744,1455,1,3,NA,0,2012-03-01,6729.8769999999995,1053.2960000000005,5676.580999999999,5,1,0.15651043845229276,0.8434895615477073
2012,3,JUREL,59000,226,1,1,NA,0,2012-03-01,25882.192000000003,25575.942,306.25,2,0,0.9881675400599762,0.011832459940023625
2012,3,SARDINA COMUN,63621.375583844674,109190,2,7,0.022403001781846586,0,2012-03-01,246995.89999999973,14111.308999999996,232884.59099999972,5,3,0.05713175400887226,0.9428682459911277
2012,4,ANCHOVETA,64809.253359191025,7219,2,4,0.200144482883664,0,2012-04-01,30577.223999999987,1966.032,28611.191999999988,6,1,0.064297269104612,0.935702730895388
2012,4,SARDINA COMUN,67599.12067486417,83928,3,8,0.16643606209549433,0,2012-04-01,190814.7750000001,23250.824000000004,167563.95100000012,6,2,0.12185022884103179,0.8781497711589683
2012,5,ANCHOVETA,62510.38062283737,2312,2,3,0.20127894873676033,0,2012-05-01,10886.609000000002,737.2610000000001,10149.348000000002,5,1,0.06772182228644383,0.9322781777135561
2012,5,SARDINA COMUN,71166.45939325419,26535,3,6,0.20393800396400447,0,2012-05-01,60009.51300000002,17293.07399999999,42716.43900000003,5,2,0.2881722102960573,0.7118277897039427
2012,6,ANCHOVETA,65468.93787575151,499,2,3,0.2878850836772574,0,2012-06-01,2786.3179999999998,548.9399999999999,2237.378,5,0,0.19701268842967673,0.8029873115703234
2012,6,SARDINA COMUN,82945.61727794532,10279,3,5,0.28125531970924594,0,2012-06-01,31836.168999999998,18735.995000000003,13100.173999999999,5,1,0.5885128640949231,0.411487135905077
2012,7,ANCHOVETA,71000,187,1,1,NA,0,2012-07-01,2110.4800000000014,432.26499999999993,1678.215000000001,3,0,0.20481833516545983,0.79518166483454
2012,7,SARDINA COMUN,75858.96276194784,13266,3,4,0.23509442935521693,0,2012-07-01,43739.299000000035,8593.246,35146.053000000036,5,1,0.19646510567076056,0.8035348943292394
2012,8,ANCHOVETA,78000,25,1,1,NA,0,2012-08-01,302.07800000000003,238.087,63.99100000000001,4,0,0.7881639841365474,0.2118360158634525
2012,8,SARDINA COMUN,77471.47081371154,9131,3,4,0.23455655812116052,0,2012-08-01,19686.011999999995,9553.973000000002,10132.039,5,0,0.48531784903920633,0.5146821509607941
2012,10,ANCHOVETA,78545.90264941467,1623,2,4,0.230970310512372,0,2012-10-01,7392.5039999999935,384.88499999999993,7007.618999999993,3,1,0.05206422614042553,0.9479357738595744
