ANIO,MES_TXT,RG,TONELADAS,NM_RECURSO,FLOTA,MES,FECHA,Limite_Superior,is_outlier_Q
2012,ene,8,66814.505,JUREL,INDUSTRIAL,1,2012-01-01,232589,FALSE
2012,feb,8,40409.758999999976,JUREL,INDUSTRIAL,2,2012-02-01,232589,FALSE
2012,mar,8,25575.942,JUREL,INDUSTRIAL,3,2012-03-01,232589,FALSE
2012,abr,8,19216.106,JUREL,INDUSTRIAL,4,2012-04-01,232589,FALSE
2012,may,8,15030.709000000003,JUREL,INDUSTRIAL,5,2012-05-01,232589,FALSE
2012,jun,8,2580.022,JUREL,INDUSTRIAL,6,2012-06-01,232589,FALSE
2012,jul,8,8.708,JUREL,INDUSTRIAL,7,2012-07-01,232589,FALSE
2012,sept,8,334.22,JUREL,INDUSTRIAL,9,2012-09-01,232589,FALSE
2012,oct,8,74.067,JUREL,INDUSTRIAL,10,2012-10-01,232589,FALSE
2012,nov,8,0.095,JUREL,INDUSTRIAL,11,2012-11-01,232589,FALSE
2012,dic,8,5493.996,JUREL,INDUSTRIAL,12,2012-12-01,232589,FALSE
2013,ene,8,34925.952999999994,JUREL,INDUSTRIAL,1,2013-01-01,232589,FALSE
2013,feb,8,32174.472000000012,JUREL,INDUSTRIAL,2,2013-02-01,232589,FALSE
2013,mar,8,39533.450999999994,JUREL,INDUSTRIAL,3,2013-03-01,232589,FALSE
2013,abr,8,35239.942,JUREL,INDUSTRIAL,4,2013-04-01,232589,FALSE
2013,may,8,22997.235,JUREL,INDUSTRIAL,5,2013-05-01,232589,FALSE
2013,jun,8,5956.015,JUREL,INDUSTRIAL,6,2013-06-01,232589,FALSE
2013,dic,8,7766.394000000002,JUREL,INDUSTRIAL,12,2013-12-01,232589,FALSE
2014,ene,8,27374.80700000002,JUREL,INDUSTRIAL,1,2014-01-01,232589,FALSE
2014,feb,8,34917.98900000002,JUREL,INDUSTRIAL,2,2014-02-01,232589,FALSE
2014,mar,8,25693.07300000001,JUREL,INDUSTRIAL,3,2014-03-01,232589,FALSE
2014,abr,8,60962.31299999999,JUREL,INDUSTRIAL,4,2014-04-01,232589,FALSE
2014,may,8,40609.817,JUREL,INDUSTRIAL,5,2014-05-01,232589,FALSE
2014,jun,8,18459.384000000002,JUREL,INDUSTRIAL,6,2014-06-01,232589,FALSE
2014,jul,8,8552.998999999996,JUREL,INDUSTRIAL,7,2014-07-01,232589,FALSE
2014,ago,8,946.751,JUREL,INDUSTRIAL,8,2014-08-01,232589,FALSE
2014,oct,8,877.617,JUREL,INDUSTRIAL,10,2014-10-01,232589,FALSE
2014,dic,8,16199.979000000008,JUREL,INDUSTRIAL,12,2014-12-01,232589,FALSE
2015,ene,8,20921.819999999996,JUREL,INDUSTRIAL,1,2015-01-01,232589,FALSE
2015,feb,8,88.83500000000001,JUREL,INDUSTRIAL,2,2015-02-01,232589,FALSE
2015,mar,8,1736.427,JUREL,INDUSTRIAL,3,2015-03-01,232589,FALSE
2015,abr,8,47290.44600000001,JUREL,INDUSTRIAL,4,2015-04-01,232589,FALSE
2015,may,8,38670.306000000004,JUREL,INDUSTRIAL,5,2015-05-01,232589,FALSE
2015,may,14,11.525,JUREL,INDUSTRIAL,5,2015-05-01,232589,FALSE
2015,jun,8,52664.694,JUREL,INDUSTRIAL,6,2015-06-01,232589,FALSE
2015,jul,8,23848.123999999993,JUREL,INDUSTRIAL,7,2015-07-01,232589,FALSE
2015,ago,8,27767.479000000014,JUREL,INDUSTRIAL,8,2015-08-01,232589,FALSE
2015,nov,8,110,JUREL,INDUSTRIAL,11,2015-11-01,232589,FALSE
2015,dic,8,7708.0650000000005,JUREL,INDUSTRIAL,12,2015-12-01,232589,FALSE
2016,ene,8,51752.94099999995,JUREL,INDUSTRIAL,1,2016-01-01,232589,FALSE
2016,feb,8,16552.93399999999,JUREL,INDUSTRIAL,2,2016-02-01,232589,FALSE
2016,mar,8,23012.976999999995,JUREL,INDUSTRIAL,3,2016-03-01,232589,FALSE
2016,abr,8,45105.48100000001,JUREL,INDUSTRIAL,4,2016-04-01,232589,FALSE
2016,may,8,42277.507999999994,JUREL,INDUSTRIAL,5,2016-05-01,232589,FALSE
2016,jun,8,35098.813,JUREL,INDUSTRIAL,6,2016-06-01,232589,FALSE
2016,jul,8,8858.948999999999,JUREL,INDUSTRIAL,7,2016-07-01,232589,FALSE
2016,ago,8,8311.381000000001,JUREL,INDUSTRIAL,8,2016-08-01,232589,FALSE
2016,sept,8,79.765,JUREL,INDUSTRIAL,9,2016-09-01,232589,FALSE
2016,oct,8,3519.4499999999994,JUREL,INDUSTRIAL,10,2016-10-01,232589,FALSE
2016,nov,8,3041.328,JUREL,INDUSTRIAL,11,2016-11-01,232589,FALSE
2016,dic,8,25606.500000000004,JUREL,INDUSTRIAL,12,2016-12-01,232589,FALSE
2017,ene,8,9054.778,JUREL,INDUSTRIAL,1,2017-01-01,232589,FALSE
2017,feb,8,3974.7760000000003,JUREL,INDUSTRIAL,2,2017-02-01,232589,FALSE
2017,mar,8,37945.299,JUREL,INDUSTRIAL,3,2017-03-01,232589,FALSE
2017,abr,8,53221.42000000004,JUREL,INDUSTRIAL,4,2017-04-01,232589,FALSE
2017,may,8,70042.06700000004,JUREL,INDUSTRIAL,5,2017-05-01,232589,FALSE
2017,jun,8,27953.60999999998,JUREL,INDUSTRIAL,6,2017-06-01,232589,FALSE
2017,jul,8,38917.289000000004,JUREL,INDUSTRIAL,7,2017-07-01,232589,FALSE
2017,ago,8,19009.95400000001,JUREL,INDUSTRIAL,8,2017-08-01,232589,FALSE
2017,sept,8,4461.796,JUREL,INDUSTRIAL,9,2017-09-01,232589,FALSE
2017,dic,8,13721.646999999999,JUREL,INDUSTRIAL,12,2017-12-01,232589,FALSE
2018,ene,8,39894.35499999999,JUREL,INDUSTRIAL,1,2018-01-01,232589,FALSE
2018,feb,8,49425.35999999999,JUREL,INDUSTRIAL,2,2018-02-01,232589,FALSE
2018,mar,8,41463.056000000004,JUREL,INDUSTRIAL,3,2018-03-01,232589,FALSE
2018,abr,8,42474.59799999999,JUREL,INDUSTRIAL,4,2018-04-01,232589,FALSE
2018,may,8,64850.87099999998,JUREL,INDUSTRIAL,5,2018-05-01,232589,FALSE
2018,jun,8,47225.61800000002,JUREL,INDUSTRIAL,6,2018-06-01,232589,FALSE
2018,jul,8,42496.71700000001,JUREL,INDUSTRIAL,7,2018-07-01,232589,FALSE
2018,ago,8,14603.475999999999,JUREL,INDUSTRIAL,8,2018-08-01,232589,FALSE
2018,sept,8,468.26800000000003,JUREL,INDUSTRIAL,9,2018-09-01,232589,FALSE
2018,dic,8,47912.552000000025,JUREL,INDUSTRIAL,12,2018-12-01,232589,FALSE
2019,ene,8,42049.51499999996,JUREL,INDUSTRIAL,1,2019-01-01,232589,FALSE
2019,feb,8,67072.54899999997,JUREL,INDUSTRIAL,2,2019-02-01,232589,FALSE
2019,mar,8,74508.63999999997,JUREL,INDUSTRIAL,3,2019-03-01,232589,FALSE
2019,abr,8,57543.908,JUREL,INDUSTRIAL,4,2019-04-01,232589,FALSE
2019,may,8,47756.269000000015,JUREL,INDUSTRIAL,5,2019-05-01,232589,FALSE
2019,jun,8,57239.92199999997,JUREL,INDUSTRIAL,6,2019-06-01,232589,FALSE
2019,jul,8,38349.418000000005,JUREL,INDUSTRIAL,7,2019-07-01,232589,FALSE
2019,ago,8,4029.446000000001,JUREL,INDUSTRIAL,8,2019-08-01,232589,FALSE
2019,dic,8,16447.355000000007,JUREL,INDUSTRIAL,12,2019-12-01,232589,FALSE
2020,ene,8,69904.875,JUREL,INDUSTRIAL,1,2020-01-01,232589,FALSE
2020,feb,8,99736.36499999993,JUREL,INDUSTRIAL,2,2020-02-01,232589,FALSE
2020,mar,8,74999.18800000002,JUREL,INDUSTRIAL,3,2020-03-01,232589,FALSE
