year,month,P_anchoveta,P_sardina_comun,P_jurel,Q_anchoveta,Q_jurel,Q_sardina_comun
2012,1,62000,63000,184666.666666667,6.85,67350.716,16.88
2012,2,62000,66000,264000,257.866,40827.649,34840.463
2012,3,66500,65900,258505.610540812,6729.877,25882.192,246995.9
2012,4,67000,68636.3636363636,250000,30577.224,19438.143,190814.775
2012,5,71000,88545.4545454545,185626.842935671,10886.609,15213.454,60009.513
2012,6,75142.8571428571,78444.4444444444,160019.088840025,2786.318,2610.76,31836.169
2012,7,77333.3333333333,75444.4444444444,110666.666666667,2110.48,51.315,43739.299
2012,8,85833.3333333333,80111.1111111111,140000,302.078,433.929,19686.012
2012,9,82800,94000,209600,34.349,1571.272,1097.433
2012,10,84142.8571428571,83300,140000,7392.50399999999,150.131,50721.097
2012,11,84714.2857142857,85400,2e+05,7308.018,44.568,108437.955
2012,12,86714.2857142857,103300,150000,4835.113,5750.28,60548.534
2013,1,95449.0044961223,126034.946996311,178666.666666667,3.151,36666.158,381.685
2013,2,156679,121026.5,160000,252.02,35955.611,12087.563
2013,3,91209.25,111354.6,163538.285699328,21597.034,39730.953,67779.914
2013,4,90601.2,125594.571428571,185536.962578308,7411.365,35259.539,22539.181
2013,5,94069.6,123742.428571429,171436.084142604,3483.217,23008.586,19175.103
2013,6,101350,137895.714285714,195450.220689197,2842.523,5956.375,10071.041
2013,7,101972.666666667,205826.25,195722.572378069,750.4,0.195,33626.899
2013,8,126030.657060829,205317.538139141,230918.439685836,0.3,14.98,8.678
2013,9,158274.799338884,144527.697046699,225498.492306411,1.954,0,114.351
2013,10,90778.3333333333,115680.25,222106.239553293,1006.906,0,13120.517
2013,11,88730.6666666667,173551.5,254087.124260456,2382.56,8.828,34613.967
2013,12,109908.666666667,195183.75,240255.25,3609.001,7999.157,24428.419
2014,1,72170.0716845505,90000,200857.5,2.656,31786.824,43.975
2014,2,88495,89332.5,220000,702.974,39398.319,16066.774
2014,3,93184.5,85588.8888888889,220000,10666.091,25714.73,196372.085
2014,4,95045.5,87267.5555555556,220000,27781.904,60964.413,119650.443
2014,5,95886.5,94081.7142857143,220000,9203.481,40609.842,48241.112
2014,6,94845,93400.8333333333,220000,1436.469,18459.384,42433.877
2014,7,96266,98814.8,202691.336424738,2024.533,8554.959,41888.492
2014,8,148099.631205602,119060,220000,98.942,973.058,37.768
2014,9,207580.076461261,96979.0619758232,218697.3155936,0.773,123.646,0.631
2014,10,168289.308522836,107574.5,220000,2290.499,1155.45,32348.782
2014,11,208018.113721573,106703,215906.894680071,2850.752,0,44138.744
2014,12,223219.583665249,114895.6,167265,390.223,16240.833,5792.638
2015,1,187614.368328082,185939.16824343,209429.824139154,221.374,21074.34,208.757
2015,2,272396.814863012,223266.702298434,2e+05,127.823,914.757,17016.056
2015,3,294320.661286864,275324,2e+05,2413.675,2434.572,79484.26
2015,4,330279.967783483,224166,217202.560200549,27988.314,47534.736,102946.975
2015,5,364210.644201614,199321,2e+05,15680.545,39922.182,71163.354
2015,6,390144.611953565,240093.888097744,237462.658532717,1583.537,53012.099,13037.4
2015,7,415514.666666667,269975.8,250000,997.946,23908.952,12892.246
2015,8,445735.470360627,214385.255273307,250000,63.361,27841.28,4677.28
2015,9,482083.456695607,153942.111730533,250000,40.596,194.066,33.95
2015,10,421526.601412887,128296.5,250000,1656.561,173.916,34077.631
2015,11,441405.333333333,121784.2,250000,9860.358,112.1,79735.0760000002
2015,12,402011.235871068,118205,213172.5,3558.808,9773.548,23926.191
2016,1,311752.532766735,117678,274625.063373241,114.639,63323.893,239.869
2016,2,342734.130960941,108933.5,305100,1383.087,16778.296,29493.965
2016,3,310097.4,120938.666666667,251757.745621314,30622.06,23188.495,40715.301
2016,4,291886.224499459,111944,2e+05,9916.19400000001,45311.535,16313.857
2016,5,286839.585447698,110000,219626.122681676,8370.932,42376.959,26720.118
2016,6,274031.114166973,110000,243539.472558091,5474.125,35130.141,33770.975
2016,7,272658.889246807,118304.25,247893.124714975,2900.651,8906.078,20547.013
