year,month,specie,harvest_LANCHAS_IFOP_centrosur,harvest_BOTES_IFOP_centrosur,harvest_IND_IFOP_norte,harvest_IND_IFOP_centrosur,total_harvest_IFOP_centrosur,total_harvest_IFOP_norte
2012,ene,JUREL,475.539,60.672000000000004,8549.836,66814.505,67350.71600000001,8549.836
2012,feb,JUREL,392.1299999999999,25.759999999999998,7636.326999999999,40409.758999999976,40827.648999999976,7636.326999999999
2012,mar,JUREL,282.08,24.17,12827.649,25575.942,25882.192,12827.649
2012,abr,JUREL,158.24200000000002,63.795,6535.476999999999,19216.106,19438.142999999996,6535.476999999999
2012,may,JUREL,161.226,21.519,4269.832,15030.709000000003,15213.454000000003,4269.832
2012,jun,JUREL,6.5,24.238,2092.261,2580.022,2610.7599999999998,2092.261
2012,jul,JUREL,37.826,4.780999999999999,143.48600000000002,8.708,51.315,143.48600000000002
2012,ago,JUREL,413.35600000000005,20.573,NA,NA,433.92900000000003,NA
2012,sept,JUREL,1209.9589999999998,27.092999999999996,0,334.22,1571.272,0
2012,oct,JUREL,58.199999999999996,17.864,252.166,74.067,150.131,252.166
2012,nov,JUREL,35.955,8.518,443.1189999999999,0.095,44.568,443.1189999999999
2012,dic,JUREL,255.029,1.255,299.63300000000004,5493.996,5750.28,299.63300000000004
2013,ene,JUREL,1707.8819999999998,32.323,4244.955,34925.952999999994,36666.15799999999,4244.955
2013,feb,JUREL,3768.5680000000007,12.571,4423.714000000001,32174.472000000012,35955.61100000002,4423.714000000001
2013,mar,JUREL,140.02599999999998,57.476000000000006,4112.449,39533.450999999994,39730.952999999994,4112.449
2013,abr,JUREL,15.567000000000002,4.029999999999999,8302.504999999997,35239.942,35259.539000000004,8302.504999999997
2013,nov,JUREL,0.028,8.8,13.338999999999999,0,8.828000000000001,13.338999999999999
2013,dic,JUREL,232.763,NA,0,7766.394000000002,7999.157000000002,0
2014,ene,JUREL,1789.7820000000004,2622.2349999999988,0,27374.80700000002,31786.824000000015,0
2014,feb,JUREL,3336.6009999999997,1143.729,4.503,34917.98900000002,39398.319000000025,4.503
