ANIO,REG,MES,NM_RECURSO,Precio_ponderado,Q_total_consolidado,N_Plantas_Compradoras,Fecha,Region_Label,Nombre_Region
2012,5,4,ANCHOVETA,50000,734,1,2012-04-01,Región 5,V - Valparaíso
2012,5,5,ANCHOVETA,50000,569,1,2012-05-01,Región 5,V - Valparaíso
2012,5,6,ANCHOVETA,50000,197,1,2012-06-01,Región 5,V - Valparaíso
2012,5,10,ANCHOVETA,60000,338,1,2012-10-01,Región 5,V - Valparaíso
2012,5,11,ANCHOVETA,60000,461,1,2012-11-01,Región 5,V - Valparaíso
2013,5,3,ANCHOVETA,79792,2435.756,1,2013-03-01,Región 5,V - Valparaíso
2013,5,4,ANCHOVETA,79785,1713.8729999999998,1,2013-04-01,Región 5,V - Valparaíso
2013,5,5,ANCHOVETA,79795,310.10699999999997,1,2013-05-01,Región 5,V - Valparaíso
2014,5,3,ANCHOVETA,85559,1231.815,1,2014-03-01,Región 5,V - Valparaíso
2014,5,4,ANCHOVETA,85559,1165.021,1,2014-04-01,Región 5,V - Valparaíso
2014,5,5,ANCHOVETA,85559,932.669,1,2014-05-01,Región 5,V - Valparaíso
2014,5,6,ANCHOVETA,85559,30.109,1,2014-06-01,Región 5,V - Valparaíso
2014,5,11,ANCHOVETA,75000,11.295,1,2014-11-01,Región 5,V - Valparaíso
2015,5,7,ANCHOVETA,100000,163.573,1,2015-07-01,Región 5,V - Valparaíso
2015,5,11,ANCHOVETA,100000,63.347,1,2015-11-01,Región 5,V - Valparaíso
2015,5,12,ANCHOVETA,99999.99999999999,426.97999999999996,1,2015-12-01,Región 5,V - Valparaíso
2016,5,3,ANCHOVETA,100000,8,1,2016-03-01,Región 5,V - Valparaíso
2016,5,4,ANCHOVETA,100000,82,1,2016-04-01,Región 5,V - Valparaíso
2016,5,5,ANCHOVETA,100000,939,1,2016-05-01,Región 5,V - Valparaíso
2016,5,6,ANCHOVETA,100000,291,1,2016-06-01,Región 5,V - Valparaíso
2016,5,7,ANCHOVETA,100000,319,1,2016-07-01,Región 5,V - Valparaíso
2017,5,3,ANCHOVETA,94180,69,1,2017-03-01,Región 5,V - Valparaíso
2017,5,4,ANCHOVETA,90000,522,1,2017-04-01,Región 5,V - Valparaíso
2017,5,5,ANCHOVETA,90000,2352,1,2017-05-01,Región 5,V - Valparaíso
2017,5,6,ANCHOVETA,90000,652,1,2017-06-01,Región 5,V - Valparaíso
2018,5,3,ANCHOVETA,90000,837.255,1,2018-03-01,Región 5,V - Valparaíso
2018,5,4,ANCHOVETA,89999.99999999999,379.51300000000003,1,2018-04-01,Región 5,V - Valparaíso
2018,5,7,ANCHOVETA,90000,13.099,1,2018-07-01,Región 5,V - Valparaíso
2018,5,11,ANCHOVETA,90000,51.049,1,2018-11-01,Región 5,V - Valparaíso
2018,5,12,ANCHOVETA,90000,13.301,1,2018-12-01,Región 5,V - Valparaíso
2019,5,4,ANCHOVETA,100000,1809.88,1,2019-04-01,Región 5,V - Valparaíso
2019,5,5,ANCHOVETA,100000,1150.3900000000003,1,2019-05-01,Región 5,V - Valparaíso
2019,5,6,ANCHOVETA,100000,101.86,1,2019-06-01,Región 5,V - Valparaíso
2019,5,7,ANCHOVETA,100000,4.74,1,2019-07-01,Región 5,V - Valparaíso
2020,5,4,ANCHOVETA,100000,276.763,1,2020-04-01,Región 5,V - Valparaíso
2012,5,3,JUREL,59000,226,1,2012-03-01,Región 5,V - Valparaíso
2016,5,3,JUREL,114000,4,1,2016-03-01,Región 5,V - Valparaíso
2016,5,5,JUREL,700000,1,1,2016-05-01,Región 5,V - Valparaíso
2017,5,5,JUREL,120000,79,1,2017-05-01,Región 5,V - Valparaíso
2020,5,2,JUREL,120000,135.234,1,2020-02-01,Región 5,V - Valparaíso
2020,5,3,JUREL,120000,114.84899999999999,1,2020-03-01,Región 5,V - Valparaíso
2020,5,4,JUREL,120000,210.989,1,2020-04-01,Región 5,V - Valparaíso
