ANIO,MES,RG,NM_RECURSO,PRECIO_PONDERADO,Q_MUESTRA_PLANTAS,N_PLANTAS,N_TRANSACCIONES,PRECIO_MIN,PRECIO_MAX,CV_PRECIO,N_OUTLIERS,FECHA
2012,1,8,JUREL,164000,555,1,1,164000,164000,NA,0,2012-01-01
2012,2,8,ANCHOVETA,62000,10,1,1,62000,62000,NA,0,2012-02-01
2012,2,8,SARDINA COMUN,62000,790,1,1,62000,62000,NA,0,2012-02-01
2012,2,14,SARDINA COMUN,67000,7567,1,1,67000,67000,NA,0,2012-02-01
2012,3,5,JUREL,59000,226,1,1,59000,59000,NA,0,2012-03-01
2012,3,8,ANCHOVETA,62694.845360824744,1455,3,3,62000,63000,0.009213036210472753,0,2012-03-01
2012,3,8,SARDINA COMUN,63995.9413296655,88699,6,6,62000,66000,0.0289414301425263,0,2012-03-01
2012,3,14,SARDINA COMUN,62000,20491,1,1,62000,62000,NA,0,2012-03-01
2012,4,5,ANCHOVETA,50000,734,1,1,50000,50000,NA,0,2012-04-01
2012,4,5,SARDINA COMUN,50000,2949,1,1,50000,50000,NA,0,2012-04-01
2012,4,8,ANCHOVETA,66485.42791056284,6485,3,3,62000,68000,0.05248638810814779,0,2012-04-01
2012,4,8,SARDINA COMUN,68559.06098621289,64408,6,6,62000,73000,0.06353784795919314,0,2012-04-01
2012,4,14,SARDINA COMUN,67000,16571,1,1,67000,67000,NA,0,2012-04-01
2012,5,5,ANCHOVETA,50000,569,1,1,50000,50000,NA,0,2012-05-01
2012,5,5,SARDINA COMUN,50000,2212,1,1,50000,50000,NA,0,2012-05-01
2012,5,8,ANCHOVETA,66594.37751004015,1743,2,2,62000,75000,0.13419544752445428,0,2012-05-01
2012,5,8,SARDINA COMUN,72039.91130820398,11275,4,4,62000,77000,0.0972063195947861,0,2012-05-01
2012,5,14,SARDINA COMUN,74000,13048,1,1,74000,74000,NA,0,2012-05-01
2012,6,5,ANCHOVETA,50000,197,1,1,50000,50000,NA,0,2012-06-01
2012,6,5,SARDINA COMUN,50000,900,1,1,50000,50000,NA,0,2012-06-01
2012,6,8,ANCHOVETA,75559.60264900663,302,2,2,71000,80000,0.08429087457852884,0,2012-06-01
2012,6,8,SARDINA COMUN,86144.46043165468,6950,3,3,71000,94000,0.1419211318425609,0,2012-06-01
2012,6,14,SARDINA COMUN,86000,2429,1,1,86000,86000,NA,0,2012-06-01
2012,7,5,SARDINA COMUN,50000,583,1,1,50000,50000,NA,0,2012-07-01
2012,7,8,ANCHOVETA,71000,187,1,1,71000,71000,NA,0,2012-07-01
2012,7,8,SARDINA COMUN,76696.34384593916,10749,2,2,71000,86000,0.13511594544965874,0,2012-07-01
2012,7,14,SARDINA COMUN,79000,1934,1,1,79000,79000,NA,0,2012-07-01
2012,8,5,SARDINA COMUN,50000,5,1,1,50000,50000,NA,0,2012-08-01
2012,8,8,ANCHOVETA,78000,25,1,1,78000,78000,NA,0,2012-08-01
2012,8,8,SARDINA COMUN,79310.3953147877,4098,2,2,78000,80000,0.01790143749839361,0,2012-08-01
2012,8,14,SARDINA COMUN,76000,5028,1,1,76000,76000,NA,0,2012-08-01
2012,10,5,ANCHOVETA,60000,338,1,1,60000,60000,NA,0,2012-10-01
2012,10,5,SARDINA COMUN,60000,1292,1,1,60000,60000,NA,0,2012-10-01
2012,10,8,ANCHOVETA,83424.12451361868,1285,3,3,80000,91000,0.07271969039411318,0,2012-10-01
2012,10,8,SARDINA COMUN,83497.25400457667,13110,5,5,80000,91000,0.05933843504299203,0,2012-10-01
2012,10,14,SARDINA COMUN,78000,9263,1,1,78000,78000,NA,0,2012-10-01
2012,11,5,ANCHOVETA,60000,461,1,1,60000,60000,NA,0,2012-11-01
2012,11,5,SARDINA COMUN,60000,1322,1,1,60000,60000,NA,0,2012-11-01
2012,11,8,ANCHOVETA,83128.1407035176,1592,2,2,80000,92000,0.09866606249114616,0,2012-11-01
2012,11,8,SARDINA COMUN,85767.86281359162,28341,4,4,80000,92000,0.05938459911664722,0,2012-11-01
2012,11,14,SARDINA COMUN,83000,21790,1,1,83000,83000,NA,0,2012-11-01
2012,12,8,ANCHOVETA,91828.57142857143,525,2,2,80000,98000,0.1430103602399759,0,2012-12-01
2012,12,8,SARDINA COMUN,89338.87142643316,13362,4,4,80000,98000,0.09206604461778616,0,2012-12-01
2012,12,14,SARDINA COMUN,93000,20076,1,1,93000,93000,NA,0,2012-12-01
2013,2,8,ANCHOVETA,221303,3.641,1,1,221303,221303,NA,0,2013-02-01
2013,2,8,SARDINA COMUN,149998,448.73199999999997,1,1,149998,149998,NA,0,2013-02-01
2013,3,5,ANCHOVETA,79792,2435.756,1,1,79792,79792,NA,0,2013-03-01
2013,3,5,SARDINA COMUN,79792,2494.1150000000002,1,1,79792,79792,NA,0,2013-03-01
2013,3,8,ANCHOVETA,88834.3715928417,4476.420999999999,4,4,85000,100208,0.06837896282397452,0,2013-03-01
2013,3,8,SARDINA COMUN,102076.61744335637,21481.015000000003,5,5,85000,191270,0.3995366472947857,0,2013-03-01
2013,4,5,ANCHOVETA,79785,1713.8729999999998,1,1,79785,79785,NA,0,2013-04-01
2013,4,5,SARDINA COMUN,79785,2084.822,1,1,79785,79785,NA,0,2013-04-01
2013,4,8,ANCHOVETA,85000,1278.4950000000001,1,1,85000,85000,NA,0,2013-04-01
2013,4,8,SARDINA COMUN,91788.24105005186,3219.041,2,2,85000,112082,0.1943339914156958,0,2013-04-01
2013,5,5,ANCHOVETA,79795,310.10699999999997,1,1,79795,79795,NA,0,2013-05-01
2013,5,5,SARDINA COMUN,79795,538.833,1,1,79795,79795,NA,0,2013-05-01
2013,5,8,ANCHOVETA,90000,841.2719999999999,1,1,90000,90000,NA,0,2013-05-01
2013,5,8,SARDINA COMUN,98282.60075841096,3866.7690000000002,2,2,90000,119156,0.19713902840248407,0,2013-05-01
2013,6,5,SARDINA COMUN,91053,2.005,1,1,91053,91053,NA,0,2013-06-01
2013,6,8,ANCHOVETA,90000,610.9680000000001,1,1,90000,90000,NA,0,2013-06-01
2013,6,8,SARDINA COMUN,98570.9918497853,1518.733,2,2,90000,139995,0.3074136700834491,0,2013-06-01
2014,2,10,SARDINA COMUN,90170,28.03,1,1,90170,90170,NA,0,2014-02-01
2014,2,14,ANCHOVETA,88495,615.568,1,1,88495,88495,NA,0,2014-02-01
2014,2,14,SARDINA COMUN,88494.99999999999,12416.102999999997,1,1,88495,88495,NA,0,2014-02-01
2014,3,5,ANCHOVETA,85559,1231.815,1,1,85559,85559,NA,0,2014-03-01
2014,3,5,SARDINA COMUN,85559.00000000001,3216.545,1,1,85559,85559,NA,0,2014-03-01
2014,3,8,ANCHOVETA,93984.59140112881,1314.847,3,3,85000,101406,0.08804837834630524,0,2014-03-01
2014,3,8,SARDINA COMUN,85890.34304366312,39824.703,4,4,24947,101406,0.45657717978913376,0,2014-03-01
2014,3,10,SARDINA COMUN,93150,56.55,1,1,93150,93150,NA,0,2014-03-01
2014,3,14,ANCHOVETA,92640.00000000001,117.158,1,1,92640,92640,NA,0,2014-03-01
2014,3,14,SARDINA COMUN,92640,21110.927999999993,1,1,92640,92640,NA,0,2014-03-01
2014,4,5,ANCHOVETA,85559,1165.021,1,1,85559,85559,NA,0,2014-04-01
2014,4,5,SARDINA COMUN,85559,3112.487,1,1,85559,85559,NA,0,2014-04-01
2014,4,8,ANCHOVETA,96105.33824988354,4439.156,3,3,85000,105306,0.10771222940128888,0,2014-04-01
2014,4,8,SARDINA COMUN,86210.51875310887,21591.46,4,4,26146,105306,0.4531790177856924,0,2014-04-01
2014,4,10,SARDINA COMUN,95420,32.6,1,1,95420,95420,NA,0,2014-04-01
2014,4,14,ANCHOVETA,95512,117.83300000000001,1,1,95512,95512,NA,0,2014-04-01
2014,4,14,SARDINA COMUN,95512,15619.314999999999,1,1,95512,95512,NA,0,2014-04-01
2014,5,5,ANCHOVETA,85559,932.669,1,1,85559,85559,NA,0,2014-05-01
2014,5,5,SARDINA COMUN,85559,2328.714,1,1,85559,85559,NA,0,2014-05-01
2014,5,8,ANCHOVETA,96956,20.785,1,1,96956,96956,NA,0,2014-05-01
2014,5,8,SARDINA COMUN,96955.99999999999,3649.1020000000008,2,2,96956,96956,0,0,2014-05-01
