ANIO,MES,RG,NUI,NM_RECURSO,MP_TOTAL,PRECIO,TIPO_MP,Limite_Inferior,Limite_Superior,is_outlier
2012,4,5,10452,ANCHOVETA,734,50000,NA,-80865,317820,FALSE
2012,5,5,10452,ANCHOVETA,569,50000,NA,-80865,317820,FALSE
2012,6,5,10452,ANCHOVETA,197,50000,NA,-80865,317820,FALSE
2012,10,5,10452,ANCHOVETA,338,60000,NA,-80865,317820,FALSE
2012,11,5,10452,ANCHOVETA,461,60000,NA,-80865,317820,FALSE
2012,3,5,10452,JUREL,226,59000,NA,-188626,648970,FALSE
2012,4,5,10452,SARDINA COMUN,2949,50000,NA,-30081,250108,FALSE
2012,5,5,10452,SARDINA COMUN,2212,50000,NA,-30081,250108,FALSE
2012,6,5,10452,SARDINA COMUN,900,50000,NA,-30081,250108,FALSE
2012,7,5,10452,SARDINA COMUN,583,50000,NA,-30081,250108,FALSE
2012,8,5,10452,SARDINA COMUN,5,50000,NA,-30081,250108,FALSE
2012,10,5,10452,SARDINA COMUN,1292,60000,NA,-30081,250108,FALSE
2012,11,5,10452,SARDINA COMUN,1322,60000,NA,-30081,250108,FALSE
2012,3,8,90099,SARDINA COMUN,13373,66000,NA,-30081,250108,FALSE
2012,4,8,90099,SARDINA COMUN,14876,73000,NA,-30081,250108,FALSE
2012,5,8,90099,SARDINA COMUN,5094,76000,NA,-30081,250108,FALSE
2012,6,8,90099,SARDINA COMUN,4084,94000,NA,-30081,250108,FALSE
2012,7,8,90099,SARDINA COMUN,4082,86000,NA,-30081,250108,FALSE
2012,8,8,90099,SARDINA COMUN,2685,80000,NA,-30081,250108,FALSE
2012,10,8,90099,SARDINA COMUN,4945,83000,NA,-30081,250108,FALSE
2012,11,8,90099,SARDINA COMUN,10702,89000,NA,-30081,250108,FALSE
2012,12,8,90099,SARDINA COMUN,5586,97000,NA,-30081,250108,FALSE
2012,3,8,13702,ANCHOVETA,331,63000,NA,-80865,317820,FALSE
2012,4,8,13702,ANCHOVETA,4007,68000,NA,-80865,317820,FALSE
2012,5,8,13702,ANCHOVETA,616,75000,NA,-80865,317820,FALSE
2012,10,8,13702,ANCHOVETA,28,91000,NA,-80865,317820,FALSE
2012,3,8,13702,SARDINA COMUN,14061,63000,NA,-30081,250108,FALSE
2012,4,8,13702,SARDINA COMUN,11799,68000,NA,-30081,250108,FALSE
2012,5,8,13702,SARDINA COMUN,928,75000,NA,-30081,250108,FALSE
2012,10,8,13702,SARDINA COMUN,150,91000,NA,-30081,250108,FALSE
2012,3,8,14838,SARDINA COMUN,10036,66000,NA,-30081,250108,FALSE
2012,4,8,14838,SARDINA COMUN,5827,73000,NA,-30081,250108,FALSE
2012,2,8,10973,ANCHOVETA,10,62000,NA,-80865,317820,FALSE
2012,3,8,10973,ANCHOVETA,444,62000,NA,-80865,317820,FALSE
2012,4,8,10973,ANCHOVETA,1637,62000,NA,-80865,317820,FALSE
2012,5,8,10973,ANCHOVETA,1127,62000,NA,-80865,317820,FALSE
2012,6,8,10973,ANCHOVETA,149,71000,NA,-80865,317820,FALSE
2012,7,8,10973,ANCHOVETA,187,71000,NA,-80865,317820,FALSE
